seed,wall_s,rc,tick,N,g14,g15,g16,g19,trust,cult_div,max_gen
42,1238.7,0,200000.0,3240.0,0.3562,0.6901,0.802,0.5674,0.9113,0.007765,45.0
43,1127.3,0,200000.0,3239.0,0.7513,0.5949,0.7182,0.6931,0.9424,0.003221,45.0
mean,,,200000.0,3239.5,0.5537,0.6425,0.7601,0.6302,0.9268,0.0055,45.0
