seed,wall_s,rc,tick,N,g14,g15,g16,g19,trust,cult_div,max_gen
42,869.1,0,200000.0,3240.0,0.4608,0.2169,0.3238,0.7631,0.8752,0.003294,23.0
43,875.0,0,200000.0,3239.0,0.5,0.5416,0.4664,0.4469,0.9744,0.013777,23.0
mean,,,200000.0,3239.5,0.4804,0.3792,0.3951,0.605,0.9248,0.0085,23.0
