seed,wall_s,rc,tick,N,g14,g15,g16,g19,trust,cult_div,max_gen
42,1633.1,0,200000.0,3239.0,0.3924,0.5094,0.9318,0.655,0.905,0.00646,89.0
43,1593.7,0,200000.0,3240.0,0.6181,0.6678,0.1767,0.3549,0.8583,0.004331,87.0
mean,,,200000.0,3239.5,0.5052,0.5886,0.5543,0.505,0.8817,0.0054,88.0
