tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,351,0.0488,381,0.6019,0.3857,0.3078,0.7601,0.8174,0.260718,-0.2631,0.3659,488,79548.6,1316.6,0.0004,4
4000,3240,0.4500,3253,0.7927,0.3149,0.1627,0.8083,0.2983,0.166199,-0.1524,0.2399,1876,1044397.1,263.7,0.0042,7
6000,3239,0.4499,3741,0.8256,0.3115,0.1534,0.8030,0.4707,0.147280,-0.0510,0.0849,2074,5417805.2,205.9,0.0081,7
8000,3240,0.4500,3837,0.7924,0.3589,0.1874,0.7703,0.5003,0.116955,-0.0673,0.1213,2593,4849211.8,169.4,0.0131,5
10000,3240,0.4500,3741,0.7181,0.3797,0.2360,0.7149,0.7443,0.097581,-0.0272,0.0565,3776,5876287.1,154.8,0.0179,6
12000,3239,0.4499,3583,0.6387,0.4063,0.2884,0.6597,0.8145,0.092987,-0.0323,0.0645,4221,6690084.2,154.3,0.0216,6
14000,3239,0.4499,3590,0.5158,0.4487,0.3429,0.5776,0.8053,0.080349,-0.0287,0.0564,5214,6157408.5,150.8,0.0258,6
16000,3240,0.4500,3665,0.4972,0.4172,0.3878,0.5252,0.8568,0.073040,-0.0141,0.0361,6116,6986207.9,153.2,0.0290,6
18000,3239,0.4499,3574,0.4661,0.3938,0.4068,0.4940,0.8632,0.065849,-0.0066,0.0266,6621,8549232.8,157.4,0.0318,6
20000,3240,0.4500,3511,0.4490,0.3739,0.4193,0.4893,0.8347,0.060498,-0.0059,0.0245,6876,10732536.4,164.6,0.0338,6
22000,3240,0.4500,3532,0.4463,0.3546,0.4177,0.4841,0.8857,0.054821,0.0010,0.0160,7045,13541703.8,172.2,0.0355,4
24000,3239,0.4499,3504,0.4437,0.3413,0.4083,0.4794,0.8690,0.053131,-0.0009,0.0176,7069,16707006.3,181.9,0.0366,4
26000,3239,0.4499,3438,0.4281,0.3154,0.3626,0.4819,0.8802,0.047009,-0.0023,0.0204,7130,17336195.3,187.3,0.0386,4
28000,3240,0.4500,3400,0.4269,0.3280,0.3545,0.4946,0.8691,0.037328,-0.0078,0.0255,7314,16096293.4,190.4,0.0409,4
30000,3239,0.4499,3376,0.4417,0.3184,0.3420,0.4870,0.9039,0.030492,-0.0049,0.0219,7442,15060612.2,192.9,0.0432,4
32000,3240,0.4500,3335,0.4663,0.3145,0.3387,0.4553,0.9251,0.026479,-0.0016,0.0197,7509,15048474.4,196.1,0.0453,4
34000,3240,0.4500,3269,0.4866,0.3096,0.3377,0.4333,0.9043,0.022772,-0.0018,0.0259,7652,15887042.2,199.1,0.0474,4
36000,3240,0.4500,3214,0.4969,0.3165,0.3371,0.4193,0.9187,0.019901,-0.0002,0.0242,7713,17229036.5,203.1,0.0492,4
38000,3240,0.4500,3223,0.5082,0.3324,0.3422,0.4059,0.9007,0.018298,-0.0002,0.0223,7730,19589047.0,208.9,0.0505,4
40000,3240,0.4500,3239,0.5091,0.3331,0.3422,0.4050,0.9122,0.017762,-0.0015,0.0220,7737,22619469.7,215.7,0.0515,4
42000,3240,0.4500,3247,0.5038,0.3626,0.3666,0.4065,0.8969,0.015830,-0.0036,0.0268,7826,22251590.8,218.4,0.0534,4
44000,3240,0.4500,3100,0.4945,0.3461,0.3645,0.4063,0.9057,0.013856,-0.0009,0.0247,8018,20898557.7,219.8,0.0556,5
