tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,752,0.1044,634,0.5889,0.3932,0.2171,0.6794,0.6098,0.232908,-0.2886,0.3865,823,124352.4,896.9,0.0006,6
4000,3239,0.4499,2815,0.6483,0.3842,0.1452,0.7108,0.4975,0.176530,-0.2072,0.2695,2115,1440404.0,205.5,0.0054,11
6000,3239,0.4499,3006,0.4600,0.4782,0.1982,0.5373,0.7776,0.164422,-0.1048,0.1389,2700,2750797.0,163.5,0.0102,8
8000,3239,0.4499,3065,0.3510,0.4591,0.2080,0.6023,0.7776,0.154889,-0.0403,0.0601,2737,5657572.0,171.3,0.0130,6
10000,3238,0.4497,3091,0.3589,0.4843,0.1975,0.5997,0.8433,0.143396,-0.0266,0.0423,2779,8172487.7,182.0,0.0153,4
12000,3240,0.4500,2847,0.4395,0.5613,0.1971,0.5456,0.8619,0.124953,-0.0253,0.0435,3146,6346654.2,176.0,0.0189,4
14000,3240,0.4500,2804,0.5147,0.6046,0.2141,0.4895,0.8754,0.105413,-0.0074,0.0176,3390,5708855.6,176.1,0.0221,4
16000,3240,0.4500,2746,0.5352,0.6146,0.2132,0.4631,0.9701,0.098940,-0.0039,0.0097,3418,7113647.8,184.9,0.0240,4
18000,3240,0.4500,2790,0.5507,0.6160,0.2326,0.4610,0.9391,0.095264,-0.0138,0.0237,3476,8528839.4,192.7,0.0260,4
20000,3238,0.4497,3218,0.5797,0.5879,0.4106,0.5100,0.9092,0.079401,-0.0190,0.0393,5243,6018837.9,183.5,0.0303,5
22000,3240,0.4500,3278,0.6090,0.6098,0.4279,0.4905,0.9542,0.071064,-0.0056,0.0145,5777,6282143.7,183.4,0.0333,5
24000,3240,0.4500,3271,0.6074,0.6077,0.4281,0.4907,0.9521,0.067842,-0.0013,0.0063,5916,8947904.2,189.6,0.0352,5
26000,3240,0.4500,3255,0.6079,0.6059,0.4268,0.4915,0.9582,0.066114,-0.0019,0.0057,5940,11738836.6,197.1,0.0366,5
28000,3238,0.4497,3238,0.5379,0.5706,0.4727,0.5130,0.9651,0.057582,-0.0235,0.0493,6596,9429279.7,196.5,0.0396,5
30000,3238,0.4497,3619,0.5814,0.6336,0.5358,0.5736,0.9508,0.045793,-0.0115,0.0250,7745,6969156.7,190.9,0.0437,6
32000,3240,0.4500,3615,0.5873,0.6323,0.5217,0.5637,0.9672,0.043299,-0.0025,0.0088,8416,8859743.4,191.6,0.0464,6
34000,3240,0.4500,3546,0.5877,0.6323,0.5161,0.5626,0.9651,0.042498,-0.0000,0.0035,8475,11935560.6,197.4,0.0478,6
36000,3240,0.4500,3567,0.5852,0.6328,0.5175,0.5603,0.9683,0.042115,-0.0002,0.0057,8499,14167237.5,203.0,0.0493,6
38000,3237,0.4496,3542,0.5154,0.6111,0.5546,0.5477,0.9759,0.033832,-0.0063,0.0222,9068,8452870.4,198.7,0.0531,6
40000,3239,0.4499,3571,0.5486,0.6283,0.5851,0.5139,0.9816,0.025256,-0.0063,0.0153,9871,7180249.6,195.5,0.0568,7
42000,3240,0.4500,3433,0.5707,0.6303,0.5527,0.4910,0.9849,0.024318,-0.0001,0.0046,10330,9088076.1,197.1,0.0592,7
44000,3240,0.4500,3442,0.5729,0.6291,0.5514,0.4910,0.9889,0.024209,-0.0006,0.0028,10363,12124945.4,202.5,0.0604,7
46000,3240,0.4500,3424,0.5715,0.6234,0.5531,0.4906,0.9813,0.023808,-0.0027,0.0079,10464,13494291.7,205.9,0.0621,7
48000,3238,0.4497,3664,0.5911,0.6516,0.5610,0.5149,0.9817,0.020531,-0.0026,0.0176,11003,8443600.5,202.0,0.0660,8
50000,3240,0.4500,3706,0.6350,0.6588,0.5815,0.4768,0.9802,0.018842,-0.0030,0.0128,11361,8451277.8,200.8,0.0692,8
52000,3240,0.4500,3599,0.6322,0.6565,0.5433,0.4757,0.9842,0.017997,0.0001,0.0031,11764,10809907.2,271.6,0.0712,8
54000,3240,0.4500,3612,0.6417,0.6487,0.5485,0.4752,0.9862,0.018039,-0.0015,0.0054,11809,13631673.5,335.7,0.0725,8
56000,3237,0.4496,3567,0.6186,0.6376,0.5442,0.4690,0.9859,0.017620,-0.0042,0.0161,11935,13843001.9,323.7,0.0743,8
58000,3240,0.4500,3343,0.5817,0.6142,0.5344,0.4680,0.9930,0.015394,-0.0014,0.0082,12177,8013772.7,258.0,0.0778,8
60000,3239,0.4499,3422,0.6033,0.6175,0.5471,0.4494,0.9862,0.014492,-0.0024,0.0114,12445,8027230.9,247.4,0.0804,9
62000,3240,0.4500,3348,0.6183,0.5852,0.5556,0.4570,0.9908,0.014514,-0.0014,0.0071,12888,10102799.2,250.2,0.0825,9
