tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,3234,0.4492,2321,0.5446,0.6617,0.2032,0.5283,0.3665,0.181264,-0.2899,0.4384,2643,338500.2,339.2,0.0016,17
4000,3237,0.4496,3300,0.3047,0.6058,0.1800,0.6461,0.7763,0.079375,-0.2095,0.2664,3647,1767160.5,156.2,0.0071,8
6000,3240,0.4500,2327,0.2577,0.4738,0.2172,0.7010,0.7060,0.060682,-0.0663,0.1088,4378,1697943.0,128.2,0.0130,8
8000,3237,0.4496,3053,0.4483,0.4007,0.3971,0.6977,0.7672,0.053134,-0.0561,0.0964,5899,2327198.6,116.7,0.0190,9
10000,3238,0.4497,3728,0.6443,0.3618,0.5595,0.7032,0.7551,0.048418,-0.0163,0.0444,8085,3691591.1,112.3,0.0247,10
12000,3239,0.4499,3896,0.7991,0.2925,0.6899,0.7265,0.5765,0.041892,-0.0073,0.0330,9009,4629057.3,109.6,0.0304,10
14000,3239,0.4499,3999,0.7590,0.3156,0.7246,0.7112,0.8524,0.039148,-0.0096,0.0392,9311,5507340.6,109.2,0.0356,11
16000,3240,0.4500,3994,0.7336,0.3291,0.7329,0.7028,0.9052,0.035803,-0.0002,0.0154,9529,6155514.6,110.1,0.0404,12
18000,3238,0.4497,3945,0.6797,0.3661,0.7884,0.7011,0.8931,0.032993,0.0001,0.0193,9635,6090427.2,110.1,0.0454,13
20000,3238,0.4497,3914,0.6605,0.3785,0.8096,0.6989,0.9244,0.030912,-0.0000,0.0230,9660,6889378.2,111.0,0.0500,13
22000,3238,0.4497,3925,0.6515,0.3845,0.8160,0.6984,0.9150,0.029327,-0.0007,0.0199,9681,7907087.9,111.8,0.0547,14
24000,3236,0.4494,3899,0.6463,0.3873,0.8189,0.6976,0.9227,0.028179,-0.0006,0.0263,9684,8549742.8,112.5,0.0593,15
26000,3237,0.4496,3909,0.6363,0.3926,0.8235,0.6955,0.9301,0.025952,-0.0000,0.0225,9686,9230612.8,113.3,0.0637,16
28000,3239,0.4499,3892,0.6289,0.3962,0.8271,0.6945,0.9330,0.022721,-0.0004,0.0121,9688,9713576.4,113.9,0.0683,17
30000,3240,0.4500,3832,0.6211,0.4010,0.8309,0.6932,0.9262,0.020859,-0.0004,0.0167,9688,9304105.6,113.8,0.0732,18
32000,3239,0.4499,3859,0.6199,0.4007,0.8301,0.6924,0.9313,0.020410,-0.0008,0.0207,9689,9327480.1,114.2,0.0778,18
34000,3237,0.4496,3827,0.6135,0.4045,0.8355,0.6919,0.9230,0.018852,-0.0002,0.0176,9690,9847442.2,114.5,0.0825,19
36000,3235,0.4493,3884,0.6078,0.4075,0.8385,0.6909,0.9215,0.018046,-0.0007,0.0237,9693,10006989.5,115.0,0.0870,20
38000,3237,0.4496,3816,0.6007,0.4119,0.8427,0.6900,0.9090,0.016872,-0.0004,0.0224,9693,10291744.0,115.4,0.0914,21
40000,3240,0.4500,3776,0.5936,0.4165,0.8469,0.6899,0.9023,0.015285,-0.0002,0.0125,9694,10579123.7,115.8,0.0960,22
42000,3239,0.4499,3745,0.5894,0.4181,0.8490,0.6894,0.9115,0.014719,-0.0001,0.0155,9695,9974263.4,115.7,0.1008,23
44000,3239,0.4499,3750,0.5893,0.4169,0.8482,0.6891,0.9160,0.014995,-0.0005,0.0204,9697,9821929.1,116.0,0.1054,24
46000,3238,0.4497,3772,0.5845,0.4190,0.8516,0.6896,0.9158,0.014615,-0.0003,0.0180,9697,10238384.8,116.3,0.1099,24
48000,3239,0.4499,3744,0.5815,0.4201,0.8527,0.6894,0.9064,0.015111,-0.0005,0.0248,9697,10328323.6,116.5,0.1145,25
50000,3240,0.4500,3785,0.5768,0.4226,0.8555,0.6886,0.9144,0.014174,-0.0010,0.0224,9699,10538012.5,116.7,0.1190,26
52000,3237,0.4496,3795,0.5703,0.4260,0.8590,0.6881,0.9201,0.012072,0.0002,0.0127,9699,10800831.4,147.0,0.1228,27
54000,3240,0.4500,3786,0.5657,0.4279,0.8613,0.6880,0.9190,0.011430,0.0003,0.0153,9701,10167618.6,140.1,0.1269,28
56000,3235,0.4493,3758,0.5617,0.4295,0.8638,0.6877,0.9146,0.011793,-0.0001,0.0208,9704,9983598.1,138.5,0.1310,29
58000,3237,0.4496,3700,0.5598,0.4302,0.8649,0.6878,0.9135,0.011563,-0.0006,0.0186,9715,10308745.2,138.7,0.1350,29
60000,3236,0.4494,3759,0.5544,0.4328,0.8681,0.6879,0.8979,0.012696,-0.0007,0.0263,9721,10339530.1,138.6,0.1390,30
62000,3240,0.4500,3740,0.5493,0.4348,0.8706,0.6870,0.9188,0.012060,-0.0006,0.0217,9728,10592565.5,139.6,0.1429,31
64000,3239,0.4499,3755,0.5441,0.4374,0.8726,0.6864,0.9115,0.012018,-0.0003,0.0121,9735,10846064.3,140.5,0.1467,32
66000,3239,0.4499,3732,0.5392,0.4397,0.8746,0.6862,0.9073,0.010995,0.0001,0.0145,9741,10192144.9,138.5,0.1511,33
68000,3238,0.4497,3733,0.5338,0.4412,0.8777,0.6857,0.9048,0.013221,-0.0003,0.0227,9745,9949139.9,137.4,0.1554,34
70000,3238,0.4497,3727,0.5316,0.4416,0.8776,0.6845,0.9211,0.012041,0.0003,0.0189,9758,10312386.9,137.4,0.1594,34
72000,3239,0.4499,3712,0.5260,0.4437,0.8805,0.6841,0.9061,0.012781,0.0001,0.0252,9762,10326439.3,137.2,0.1636,35
74000,3236,0.4494,3692,0.5226,0.4450,0.8823,0.6835,0.8982,0.012056,-0.0005,0.0215,9769,10509380.1,137.1,0.1676,36
76000,3239,0.4499,3707,0.5169,0.4473,0.8846,0.6833,0.9110,0.010018,0.0001,0.0116,9774,10715707.9,137.0,0.1717,37
78000,3240,0.4500,3712,0.5122,0.4490,0.8869,0.6830,0.9108,0.010818,-0.0003,0.0139,9782,9985774.4,136.0,0.1762,38
80000,3238,0.4497,3751,0.5092,0.4508,0.8882,0.6833,0.8997,0.011382,-0.0011,0.0208,9792,9695393.7,135.5,0.1805,39
82000,3240,0.4500,3694,0.5084,0.4509,0.8874,0.6829,0.9039,0.010866,-0.0005,0.0184,9807,9995325.1,135.8,0.1845,39
84000,3237,0.4496,3746,0.5022,0.4534,0.8911,0.6829,0.9169,0.011378,-0.0002,0.0230,9822,10064287.8,135.7,0.1886,40
86000,3239,0.4499,3711,0.5003,0.4545,0.8918,0.6840,0.8971,0.011779,-0.0004,0.0229,9829,10281343.1,136.1,0.1925,41
88000,3240,0.4500,3712,0.4970,0.4559,0.8931,0.6838,0.9280,0.010696,-0.0002,0.0117,9841,10490371.4,136.4,0.1964,42
90000,3238,0.4497,3730,0.4926,0.4580,0.8955,0.6833,0.9083,0.011153,-0.0003,0.0138,9868,9786648.8,135.9,0.2008,43
92000,3239,0.4499,3739,0.4882,0.4599,0.8975,0.6830,0.9005,0.012653,-0.0007,0.0209,9886,9454773.1,135.9,0.2048,44
94000,3239,0.4499,3673,0.4865,0.4599,0.8969,0.6825,0.9024,0.012862,-0.0009,0.0182,9912,9703436.2,136.2,0.2087,44
96000,3239,0.4499,3640,0.4799,0.4631,0.9007,0.6819,0.8882,0.013942,-0.0006,0.0220,9939,9720428.5,136.4,0.2127,45
98000,3237,0.4496,3727,0.4759,0.4646,0.9020,0.6803,0.9272,0.013642,-0.0009,0.0235,9960,9949995.1,136.7,0.2166,46
100000,3239,0.4499,3717,0.4720,0.4663,0.9034,0.6797,0.9166,0.010791,0.0000,0.0115,9980,10128386.6,136.9,0.2205,47
102000,3240,0.4500,3678,0.4684,0.4685,0.9044,0.6794,0.9234,0.011391,0.0002,0.0127,10021,9399245.8,114.4,0.2254,48
104000,3238,0.4497,3698,0.4642,0.4692,0.9057,0.6785,0.9008,0.013757,-0.0007,0.0205,10053,9049732.9,116.2,0.2301,49
106000,3238,0.4497,3638,0.4597,0.4707,0.9071,0.6773,0.9214,0.013679,-0.0000,0.0172,10071,9335815.7,118.9,0.2345,50
108000,3239,0.4499,3688,0.4588,0.4720,0.9075,0.6773,0.9000,0.011078,-0.0003,0.0217,10097,9363915.7,119.2,0.2391,50
110000,3239,0.4499,3663,0.4556,0.4737,0.9083,0.6766,0.9107,0.010666,-0.0007,0.0244,10123,9635649.7,120.0,0.2436,51
112000,3240,0.4500,3674,0.4532,0.4746,0.9089,0.6745,0.9150,0.011838,0.0000,0.0119,10148,9870563.0,120.2,0.2482,52
114000,3240,0.4500,3660,0.4492,0.4769,0.9102,0.6728,0.9155,0.009755,-0.0006,0.0141,10178,9215238.6,118.7,0.2533,53
116000,3238,0.4497,3677,0.4456,0.4781,0.9116,0.6726,0.9008,0.011574,-0.0017,0.0214,10200,8896611.2,118.4,0.2580,54
118000,3238,0.4497,3699,0.4425,0.4795,0.9123,0.6715,0.9224,0.011631,-0.0003,0.0170,10232,9142122.5,118.7,0.2626,55
120000,3238,0.4497,3685,0.4390,0.4809,0.9133,0.6710,0.9090,0.012267,-0.0009,0.0225,10274,9093933.9,118.5,0.2674,55
122000,3237,0.4496,3678,0.4360,0.4819,0.9150,0.6710,0.9194,0.012569,-0.0004,0.0232,10307,9291328.1,118.6,0.2720,56
124000,3237,0.4496,3647,0.4347,0.4838,0.9167,0.6702,0.9075,0.012684,0.0001,0.0116,10329,9529168.0,118.7,0.2767,57
126000,3240,0.4500,3640,0.4313,0.4855,0.9183,0.6685,0.9315,0.010134,-0.0002,0.0134,10356,8886715.6,118.1,0.2816,58
128000,3240,0.4500,3682,0.4275,0.4862,0.9198,0.6677,0.9189,0.010889,0.0002,0.0205,10395,8569228.1,117.9,0.2865,59
130000,3240,0.4500,3614,0.4231,0.4882,0.9210,0.6669,0.9321,0.009572,-0.0002,0.0166,10422,8798382.6,118.2,0.2910,60
132000,3238,0.4497,3661,0.4239,0.4880,0.9215,0.6665,0.9169,0.010046,-0.0002,0.0220,10461,8750133.8,118.6,0.2955,60
134000,3233,0.4490,3650,0.4215,0.4884,0.9221,0.6651,0.9008,0.010611,-0.0007,0.0232,10485,9019365.2,119.3,0.2997,61
136000,3240,0.4500,3601,0.4182,0.4900,0.9234,0.6646,0.9241,0.010251,-0.0005,0.0122,10506,9222676.7,119.8,0.3040,62
138000,3240,0.4500,3607,0.4159,0.4911,0.9241,0.6624,0.9331,0.009927,-0.0004,0.0134,10550,8558720.4,119.5,0.3088,63
140000,3238,0.4497,3673,0.4133,0.4930,0.9253,0.6625,0.9101,0.011432,-0.0006,0.0201,10577,8244238.5,119.6,0.3134,64
142000,3238,0.4497,3629,0.4124,0.4934,0.9251,0.6633,0.9241,0.012300,-0.0006,0.0173,10617,8469459.5,119.8,0.3179,65
144000,3239,0.4499,3607,0.4130,0.4950,0.9254,0.6630,0.9376,0.012785,-0.0004,0.0210,10648,8396822.2,120.0,0.3223,65
146000,3237,0.4496,3624,0.4107,0.4945,0.9267,0.6613,0.9170,0.012436,-0.0001,0.0243,10691,8582648.0,120.5,0.3265,66
148000,3238,0.4497,3609,0.4073,0.4959,0.9280,0.6601,0.9227,0.009455,-0.0008,0.0137,10725,8735202.8,121.1,0.3306,67
150000,3240,0.4500,3626,0.4048,0.4979,0.9301,0.6598,0.9170,0.009390,-0.0002,0.0130,10779,8215076.8,121.3,0.3350,68
152000,3237,0.4496,3597,0.4039,0.4990,0.9312,0.6593,0.9227,0.008484,0.0006,0.0196,10825,7932231.0,129.3,0.3393,69
154000,3238,0.4497,3593,0.4044,0.5001,0.9318,0.6581,0.9275,0.008014,0.0004,0.0159,10867,8232957.2,129.4,0.3436,70
156000,3240,0.4500,3681,0.4038,0.5002,0.9318,0.6581,0.9248,0.008120,-0.0001,0.0210,10919,8122531.7,126.9,0.3481,70
158000,3239,0.4499,3629,0.4013,0.5006,0.9334,0.6592,0.8890,0.005096,0.0002,0.0226,10964,8323404.1,126.8,0.3525,71
160000,3238,0.4497,3614,0.4004,0.5024,0.9338,0.6593,0.9415,0.005702,-0.0001,0.0136,11007,8473420.5,126.7,0.3569,72
162000,3240,0.4500,3588,0.3989,0.5028,0.9330,0.6602,0.9293,0.003399,-0.0003,0.0139,11052,7963546.4,125.0,0.3617,73
164000,3239,0.4499,3632,0.3972,0.5034,0.9328,0.6595,0.8888,0.003928,0.0002,0.0185,11089,7726079.1,124.3,0.3663,74
166000,3238,0.4497,3571,0.3968,0.5026,0.9329,0.6590,0.9238,0.004422,0.0003,0.0148,11130,8019434.9,124.1,0.3708,75
168000,3236,0.4494,3599,0.3971,0.5033,0.9335,0.6587,0.9146,0.005214,0.0000,0.0201,11169,7892880.9,123.5,0.3755,75
170000,3238,0.4497,3588,0.3963,0.5048,0.9333,0.6583,0.9051,0.005660,-0.0007,0.0218,11215,8137476.4,123.6,0.3799,76
172000,3240,0.4500,3607,0.3966,0.5058,0.9342,0.6588,0.9357,0.004928,0.0003,0.0122,11262,8321838.9,123.8,0.3844,77
174000,3240,0.4500,3605,0.3967,0.5049,0.9344,0.6596,0.9173,0.005761,-0.0001,0.0137,11316,7827517.8,123.1,0.3892,78
