tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,165,0.0229,320,0.5000,0.5000,0.5000,0.5000,0.9973,0.303556,-0.0456,0.0736,636,27960.4,1821.1,0.0003,1
4000,145,0.0201,288,0.5000,0.5000,0.5000,0.5000,1.0000,0.303938,-0.0096,0.0187,1048,32146.9,1690.9,0.0007,2
6000,139,0.0193,276,0.5000,0.5000,0.5000,0.5000,1.0000,0.303700,-0.0163,0.0213,1399,34908.7,1752.2,0.0010,3
8000,133,0.0185,265,0.5000,0.5000,0.5000,0.5000,1.0000,0.305015,-0.0080,0.0106,1733,38256.4,1771.9,0.0013,4
10000,155,0.0215,256,0.5000,0.5000,0.5000,0.5000,0.9842,0.310359,-0.1567,0.2251,2155,34501.9,1791.8,0.0016,6
12000,137,0.0190,254,0.5000,0.5000,0.5000,0.5000,0.9967,0.310150,-0.0817,0.1128,2643,28907.3,1787.9,0.0019,7
14000,121,0.0168,228,0.5000,0.5000,0.5000,0.5000,0.9996,0.312356,-0.0109,0.0353,2984,27821.6,1780.7,0.0022,8
16000,113,0.0157,223,0.5000,0.5000,0.5000,0.5000,0.9991,0.316349,-0.0072,0.0193,3292,28831.1,1791.8,0.0025,9
18000,110,0.0153,215,0.5000,0.5000,0.5000,0.5000,0.9991,0.318133,-0.0180,0.0321,3556,31333.0,1789.2,0.0028,11
20000,116,0.0161,214,0.5000,0.5000,0.5000,0.5000,0.9953,0.321219,-0.0455,0.0937,3898,29221.4,1771.3,0.0031,12
22000,103,0.0143,201,0.5000,0.5000,0.5000,0.5000,0.9971,0.324455,-0.0263,0.0648,4289,23862.2,1782.4,0.0034,13
24000,107,0.0149,199,0.5000,0.5000,0.5000,0.5000,0.9986,0.322963,-0.0099,0.0524,4591,23677.2,1785.2,0.0037,14
26000,99,0.0138,184,0.5000,0.5000,0.5000,0.5000,0.9975,0.330845,-0.0192,0.0534,4873,22396.9,1791.2,0.0040,15
28000,90,0.0125,177,0.5000,0.5000,0.5000,0.5000,1.0000,0.329325,-0.0015,0.0155,5134,23375.2,1802.7,0.0043,16
30000,92,0.0128,168,0.5000,0.5000,0.5000,0.5000,0.9984,0.334641,-0.0150,0.0561,5379,23240.7,1807.9,0.0046,18
32000,86,0.0119,168,0.5000,0.5000,0.5000,0.5000,0.9983,0.341357,-0.0224,0.0461,5635,21757.9,1795.7,0.0049,19
34000,83,0.0115,159,0.5000,0.5000,0.5000,0.5000,0.9983,0.341062,-0.0171,0.0464,5880,19877.0,1799.9,0.0052,20
36000,78,0.0108,148,0.5000,0.5000,0.5000,0.5000,1.0000,0.343595,-0.0154,0.0377,6101,19697.3,1802.3,0.0055,21
38000,76,0.0106,140,0.5000,0.5000,0.5000,0.5000,0.9980,0.353438,-0.0387,0.0606,6331,18456.4,1806.3,0.0058,23
40000,73,0.0101,136,0.5000,0.5000,0.5000,0.5000,0.9979,0.348110,-0.0305,0.0597,6534,18332.5,1809.5,0.0061,24
42000,71,0.0099,134,0.5000,0.5000,0.5000,0.5000,0.9965,0.352836,-0.0035,0.0414,6755,16725.1,1818.0,0.0064,25
44000,70,0.0097,128,0.5000,0.5000,0.5000,0.5000,0.9950,0.355291,-0.0339,0.0525,6950,15877.8,1828.8,0.0067,26
46000,67,0.0093,128,0.5000,0.5000,0.5000,0.5000,0.9978,0.356284,-0.0207,0.0655,7112,16082.1,1832.4,0.0070,27
48000,60,0.0083,118,0.5000,0.5000,0.5000,0.5000,0.9992,0.355802,-0.0347,0.0540,7287,15831.5,1832.8,0.0073,28
