tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,3240,0.4500,3688,0.3020,0.2909,0.1967,0.6846,0.4096,0.192134,-0.4253,0.5240,2047,1338102.0,204.5,0.0027,9
4000,3237,0.4496,2884,0.4167,0.4326,0.2528,0.6454,0.6846,0.156788,-0.1492,0.2064,4008,1843072.4,133.7,0.0083,7
6000,3239,0.4499,2892,0.4881,0.4447,0.2037,0.6842,0.6647,0.138327,-0.0660,0.0975,4392,3623841.9,132.7,0.0126,5
8000,3240,0.4500,2898,0.6668,0.4710,0.2299,0.6658,0.8437,0.114858,-0.0405,0.0669,5276,3306347.7,128.5,0.0173,5
10000,3239,0.4499,2804,0.7351,0.4317,0.2479,0.6342,0.8765,0.104746,-0.0259,0.0474,5456,4594125.4,136.0,0.0204,5
12000,3240,0.4500,3385,0.7867,0.4451,0.4212,0.6514,0.8659,0.091542,-0.0130,0.0333,7507,3872393.3,132.5,0.0252,5
14000,3239,0.4499,3369,0.7889,0.4357,0.4451,0.6608,0.9267,0.087311,-0.0101,0.0235,7928,6443827.1,138.9,0.0280,6
16000,3239,0.4499,3783,0.7108,0.5152,0.5920,0.6554,0.7527,0.071629,-0.0012,0.0189,9240,6001860.2,138.0,0.0322,6
18000,3240,0.4500,3983,0.7092,0.5386,0.6438,0.6389,0.9231,0.060340,-0.0032,0.0133,9434,7995919.8,142.4,0.0351,7
20000,3238,0.4497,4132,0.6963,0.5783,0.6741,0.6514,0.9303,0.053293,-0.0003,0.0157,9703,9321812.6,145.3,0.0382,7
22000,3239,0.4499,4378,0.6505,0.6015,0.7018,0.6453,0.8802,0.046910,-0.0027,0.0139,9905,8400037.0,146.2,0.0418,8
24000,3240,0.4500,4328,0.6560,0.6148,0.7043,0.6306,0.9454,0.043765,0.0002,0.0094,10137,11376181.4,150.7,0.0442,8
26000,3239,0.4499,4345,0.6768,0.6072,0.7027,0.6340,0.9251,0.039398,0.0002,0.0107,10145,9724769.5,151.2,0.0478,8
28000,3240,0.4500,4327,0.6878,0.6201,0.7187,0.6568,0.9309,0.035849,-0.0002,0.0067,10178,11972085.8,154.1,0.0505,9
30000,3239,0.4499,4352,0.7038,0.6123,0.7154,0.6580,0.9380,0.033562,-0.0003,0.0139,10184,11777560.4,155.2,0.0537,9
32000,3240,0.4500,4316,0.7179,0.6087,0.7156,0.6670,0.9492,0.030133,0.0000,0.0073,10187,12553245.3,156.7,0.0567,10
34000,3239,0.4499,4265,0.7151,0.6089,0.7145,0.6662,0.9472,0.028831,-0.0003,0.0137,10202,14087743.0,159.2,0.0593,10
36000,3238,0.4497,4362,0.7166,0.6085,0.7144,0.6661,0.9344,0.026203,-0.0002,0.0134,10203,13219962.7,159.5,0.0627,10
38000,3240,0.4500,4305,0.7178,0.6093,0.7150,0.6710,0.9483,0.024373,0.0000,0.0070,10209,15521199.8,162.2,0.0651,11
40000,3240,0.4500,4318,0.7198,0.6085,0.7145,0.6714,0.9263,0.022599,0.0001,0.0102,10209,14570047.2,162.4,0.0684,11
42000,3239,0.4499,4251,0.7198,0.6093,0.7152,0.6737,0.9570,0.020810,-0.0001,0.0064,10214,15841310.6,164.2,0.0711,12
