tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,2664,0.3700,1868,0.6337,0.2113,0.1102,0.7476,0.3390,0.139517,-0.1871,0.2891,1551,329120.9,597.7,0.0009,12
4000,3239,0.4499,3318,0.4449,0.4844,0.2345,0.5091,0.7007,0.126549,-0.1728,0.2526,6978,1149325.3,174.5,0.0064,12
6000,3239,0.4499,3615,0.4157,0.5242,0.1771,0.4800,0.8799,0.109338,-0.0429,0.0650,8072,3615236.3,157.3,0.0106,8
8000,3239,0.4499,3516,0.3246,0.6048,0.3249,0.5080,0.8442,0.088774,-0.0292,0.0621,9085,3883702.7,144.6,0.0154,6
10000,3239,0.4499,3253,0.2834,0.6193,0.3598,0.5340,0.8286,0.073993,-0.0228,0.0391,9718,5298673.3,138.1,0.0201,6
12000,3237,0.4496,3600,0.3307,0.6375,0.5045,0.5054,0.8278,0.068058,-0.0204,0.0481,10874,5553963.7,133.1,0.0250,7
14000,3239,0.4499,3679,0.3858,0.5791,0.5615,0.5296,0.8718,0.058798,-0.0054,0.0184,12170,6154426.9,130.8,0.0297,7
16000,3239,0.4499,3716,0.3934,0.5855,0.5745,0.5476,0.8371,0.054747,-0.0059,0.0183,12764,7704544.4,132.8,0.0335,7
18000,3240,0.4500,3390,0.3802,0.6168,0.5304,0.5110,0.7295,0.046779,-0.0046,0.0242,13701,5783760.4,128.4,0.0390,8
20000,3239,0.4499,3385,0.3852,0.6185,0.5865,0.5140,0.7521,0.044656,-0.0093,0.0256,14469,7942892.5,128.0,0.0434,8
22000,3239,0.4499,3399,0.3355,0.6566,0.6080,0.5030,0.7550,0.040321,-0.0067,0.0335,14877,7412153.2,127.3,0.0480,9
24000,3239,0.4499,3245,0.3283,0.6691,0.5991,0.5139,0.7712,0.035024,-0.0041,0.0182,15512,8219883.2,127.1,0.0525,9
26000,3240,0.4500,3328,0.3515,0.6518,0.6584,0.5233,0.8145,0.032523,-0.0044,0.0169,15697,9654753.4,127.8,0.0565,9
28000,3240,0.4500,3542,0.3173,0.6816,0.6387,0.5581,0.8633,0.028417,-0.0014,0.0097,16068,10170794.0,127.9,0.0608,9
30000,3238,0.4497,3452,0.3388,0.6677,0.6927,0.5651,0.8442,0.026157,-0.0018,0.0124,16194,11202575.6,128.5,0.0648,10
32000,3240,0.4500,3668,0.3384,0.6580,0.7089,0.5839,0.9090,0.024062,-0.0007,0.0121,16359,11767428.2,129.2,0.0688,10
34000,3240,0.4500,3746,0.3428,0.6551,0.7183,0.5850,0.9044,0.022418,-0.0006,0.0110,16401,13396294.3,131.1,0.0720,11
36000,3239,0.4499,3704,0.3446,0.6548,0.7225,0.5841,0.8805,0.021005,-0.0001,0.0126,16432,13587620.3,132.0,0.0758,11
38000,3239,0.4499,3709,0.3475,0.6513,0.7272,0.5863,0.9111,0.019440,-0.0004,0.0098,16537,14817877.7,133.0,0.0794,12
40000,3240,0.4500,3631,0.3539,0.6477,0.7441,0.5878,0.9021,0.018605,-0.0008,0.0082,16580,14677806.8,133.3,0.0833,12
42000,3240,0.4500,3744,0.3534,0.6488,0.7427,0.5866,0.8933,0.017494,-0.0002,0.0069,16663,15404988.9,134.1,0.0870,12
44000,3239,0.4499,3829,0.3556,0.6475,0.7480,0.5870,0.9470,0.016942,-0.0001,0.0122,16699,15614189.6,135.0,0.0905,13
46000,3239,0.4499,3743,0.3542,0.6492,0.7470,0.5855,0.8962,0.016392,-0.0009,0.0119,16709,15821437.3,135.7,0.0942,13
48000,3239,0.4499,3777,0.3548,0.6494,0.7498,0.5851,0.9190,0.015295,-0.0003,0.0100,16758,16863432.1,136.8,0.0975,14
50000,3239,0.4499,3737,0.3544,0.6490,0.7501,0.5850,0.9178,0.014299,-0.0001,0.0089,16765,16259828.5,137.1,0.1013,14
52000,3239,0.4499,3693,0.3552,0.6511,0.7491,0.5834,0.8850,0.013007,-0.0015,0.0083,16853,17309861.3,181.2,0.1044,15
54000,3240,0.4500,3687,0.3618,0.6471,0.7650,0.5854,0.9060,0.012938,-0.0009,0.0120,16896,16173994.8,169.7,0.1078,15
56000,3239,0.4499,3748,0.3599,0.6491,0.7638,0.5841,0.9184,0.011704,-0.0008,0.0095,16948,16929132.5,172.1,0.1110,15
58000,3239,0.4499,3737,0.3624,0.6478,0.7693,0.5846,0.9251,0.011171,-0.0012,0.0122,16988,17297956.1,176.5,0.1139,16
60000,3238,0.4497,3775,0.3623,0.6477,0.7714,0.5844,0.9101,0.011023,-0.0004,0.0105,17010,16901411.8,175.3,0.1171,16
62000,3240,0.4500,3780,0.3615,0.6491,0.7700,0.5839,0.9225,0.010558,-0.0003,0.0104,17045,18003397.3,177.2,0.1201,17
64000,3239,0.4499,3775,0.3630,0.6475,0.7753,0.5847,0.9266,0.010233,-0.0009,0.0085,17059,16775066.6,172.6,0.1238,17
66000,3240,0.4500,3734,0.3622,0.6483,0.7732,0.5842,0.8972,0.009936,-0.0002,0.0061,17095,17863375.0,172.2,0.1271,17
68000,3240,0.4500,3765,0.3655,0.6456,0.7825,0.5848,0.8972,0.010521,-0.0007,0.0131,17132,16918508.5,169.3,0.1308,18
70000,3240,0.4500,3737,0.3639,0.6461,0.7831,0.5851,0.8864,0.010141,-0.0004,0.0114,17161,17331973.4,168.6,0.1342,18
72000,3240,0.4500,3774,0.3651,0.6463,0.7838,0.5850,0.9164,0.009607,-0.0008,0.0105,17218,18105953.5,169.1,0.1374,19
