tick,N,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h
2000,264,329,0.553227852713331,0.2865267641056945,0.33634796424076907,0.6257290650286025,0.9126136363636363,0.250856038608592,-0.2547777190360438,0.3658702933763178,512,65671.4609865223,1217.6,0.0005
4000,4996,4346,0.6623750815838213,0.12548716258221643,0.10206498422708182,0.7823091982889948,0.20938446757405932,0.060353675362674254,-0.25104944362270454,0.3612272182897617,2311,968203.7684337115,256.5,0.0022
4000,4996,4346,0.6623750815838213,0.12548716258221643,0.10206498422708182,0.7823091982889948,0.20938446757405932,0.060353675362674254,-0.25104944362270454,0.3612272182897617,4110,968203.7684337115,238.5,0.0023
6000,5000,5218,0.6567342427229597,0.13175359588478944,0.11139030602320095,0.7765445765745606,0.9531171999999999,0.04141361259951066,-0.08847638239366006,0.1399157832602357,5106,5324394.219744978,191.4,0.0058
8000,4998,5320,0.6404756358235715,0.1882562997870862,0.21073031712714527,0.7282936133115776,0.9572330532212885,0.026612018843820265,-0.0499841090425509,0.08878755637361596,7448,5648581.220911389,162.5,0.0103
10000,4997,5321,0.6366351475917696,0.24514219618783914,0.2882942571703583,0.6467085909914904,0.959461116670002,0.022349547830269177,-0.06305979150224471,0.10938339371472422,9256,5817959.754744834,153.1,0.0145
12000,4994,5402,0.6352652777800882,0.3375414654842717,0.44668489336526435,0.5362050458068698,0.964992390869043,0.0176167288502603,-0.05031125308099761,0.08852449829623048,13988,4880080.128631059,143.1,0.0194
14000,5000,5165,0.6642751209227492,0.36439965838375726,0.4376464493472604,0.4696728736342946,0.9486880000000001,0.014784680843132773,-0.06069037764573464,0.08997660761605089,17520,5692032.140329992,137.9,0.0242
16000,5000,5052,0.6845564191714899,0.3875213097588701,0.42374336747520175,0.430446576510126,0.9263336,0.012552627939659248,-0.03394937115023828,0.05914513159021227,18263,8086181.825309817,138.9,0.028
18000,5000,5027,0.6923519635221336,0.40096288975505984,0.4061095162491867,0.39881180598310983,0.9258804,0.011814851342132641,-0.024782061286476552,0.048713965613536594,18377,11324968.556918964,142.7,0.0311
4000,4996,4346,0.6623750815838213,0.12548716258221643,0.10206498422708182,0.7823091982889948,0.20938446757405932,0.060353675362674254,-0.25104944362270454,0.3612272182897617,20176,968203.7684337115,239.2,0.0023
6000,5000,5218,0.6567342427229597,0.13175359588478944,0.11139030602320095,0.7765445765745606,0.9531171999999999,0.04141361259951066,-0.08847638239366006,0.1399157832602357,21172,5324394.219744978,185.9,0.006
8000,4998,5320,0.6404756358235715,0.1882562997870862,0.21073031712714527,0.7282936133115776,0.9572330532212885,0.026612018843820265,-0.0499841090425509,0.08878755637361596,23514,5648581.220911389,160.5,0.0104
10000,4997,5321,0.6366351475917696,0.24514219618783914,0.2882942571703583,0.6467085909914904,0.959461116670002,0.022349547830269177,-0.06305979150224471,0.10938339371472422,25322,5817959.754744834,152.9,0.0145
12000,4994,5402,0.6352652777800882,0.3375414654842717,0.44668489336526435,0.5362050458068698,0.964992390869043,0.0176167288502603,-0.05031125308099761,0.08852449829623048,30054,4880080.128631059,143.7,0.0193
14000,5000,5165,0.6642751209227492,0.36439965838375726,0.4376464493472604,0.4696728736342946,0.9486880000000001,0.014784680843132773,-0.06069037764573464,0.08997660761605089,33586,5692032.140329992,137.5,0.0242
16000,5000,5052,0.6845564191714899,0.3875213097588701,0.42374336747520175,0.430446576510126,0.9263336,0.012552627939659248,-0.03394937115023828,0.05914513159021227,34329,8086181.825309817,139.0,0.028
18000,5000,5027,0.6923519635221336,0.40096288975505984,0.4061095162491867,0.39881180598310983,0.9258804,0.011814851342132641,-0.024782061286476552,0.048713965613536594,34443,11324968.556918964,143.0,0.0311
20000,5000,5140,0.6972993402264724,0.4012035180046422,0.38692526895689583,0.38960499133781684,0.9432804,0.011668232720337646,-0.012421713299044986,0.03085010475976164,34506,15737922.506140329,148.9,0.0336
22000,5000,5155,0.7183884251150301,0.40286093931968764,0.3585063677487647,0.3854151365450599,0.9280732,0.01111229045305863,-0.013229023677059333,0.03199065066821347,34537,19882813.338371877,154.2,0.036
24000,5000,5208,0.7455704446225324,0.4145796036567774,0.3233918067703818,0.3542736879171844,0.9230652,0.010863590437949513,-0.013531128635687855,0.03588050998685993,34574,22395289.779810674,157.7,0.0388
26000,4999,5197,0.7678249201534707,0.4276854099346547,0.28632955487337525,0.3359735706271796,0.9022760552110424,0.009982388972954469,-0.019025201823981,0.03958997955575307,34705,23856134.89338566,159.8,0.0417
28000,4999,5449,0.7834246943112181,0.41610457551392727,0.3093257217584923,0.3688825969676207,0.9205577115423086,0.009667915009287764,-0.010012495444511781,0.028987994878352078,34995,23549997.842778824,161.4,0.0447
30000,5000,5644,0.8057619903545148,0.3992862571623082,0.36057401325322014,0.4503278347426991,0.9027172,0.008616851772506488,-0.005867125527557198,0.018465078002459886,35249,18732225.160110854,161.1,0.0483
32000,5000,5807,0.8222348979369348,0.38088301349050624,0.39995011876184455,0.5142132394109651,0.9381910400000001,0.006844562029528674,-0.004318008207420972,0.012937938337823486,35875,16328227.623839688,160.0,0.0521
4000,4996,4346,0.6623750815838213,0.12548716258221643,0.10206498422708182,0.7823091982889948,0.20938446757405932,0.060353675362674254,-0.25104944362270454,0.3612272182897617,37674,968203.7684337115,244.0,0.0023
6000,5000,5218,0.6567342427229597,0.13175359588478944,0.11139030602320095,0.7765445765745606,0.9531171999999999,0.04141361259951066,-0.08847638239366006,0.1399157832602357,38670,5324394.219744978,193.2,0.0058
8000,4998,5320,0.6404756358235715,0.1882562997870862,0.21073031712714527,0.7282936133115776,0.9572330532212885,0.026612018843820265,-0.0499841090425509,0.08878755637361596,41012,5648581.220911389,163.9,0.0102
10000,4997,5321,0.6366351475917696,0.24514219618783914,0.2882942571703583,0.6467085909914904,0.959461116670002,0.022349547830269177,-0.06305979150224471,0.10938339371472422,42820,5817959.754744834,154.3,0.0144
12000,4994,5402,0.6352652777800882,0.3375414654842717,0.44668489336526435,0.5362050458068698,0.964992390869043,0.0176167288502603,-0.05031125308099761,0.08852449829623048,47552,4880080.128631059,144.3,0.0193
14000,5000,5165,0.6642751209227492,0.36439965838375726,0.4376464493472604,0.4696728736342946,0.9486880000000001,0.014784680843132773,-0.06069037764573464,0.08997660761605089,51084,5692032.140329992,139.3,0.0239
16000,5000,5052,0.6845564191714899,0.3875213097588701,0.42374336747520175,0.430446576510126,0.9263336,0.012552627939659248,-0.03394937115023828,0.05914513159021227,51827,8086181.825309817,140.6,0.0277
18000,5000,5027,0.6923519635221336,0.40096288975505984,0.4061095162491867,0.39881180598310983,0.9258804,0.011814851342132641,-0.024782061286476552,0.048713965613536594,51941,11324968.556918964,144.5,0.0308
