tick,N,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h
56000,5000,5987,0.8583732234001651,0.3502307416377234,0.4801345313124817,0.6880416692035165,0.9192756000000001,0.0038757702024999107,-0.0007812411999267859,0.006524670911067608,18825,37737380.06459791,142.3,0.1093
58000,5000,5915,0.8610039406302367,0.3519050640462051,0.47792051377075395,0.6993339739981238,0.9140916000000001,0.0032164085811556935,-0.002386356140977682,0.0075843594535825775,18825,41827687.24392812,143.0,0.1126
60000,5000,5989,0.8614364844434629,0.35030566450957196,0.481196444495801,0.7020146434877721,0.9160076000000001,0.003366820210229936,-0.0010725257775966242,0.006653002755530547,18828,46055180.70632249,144.0,0.1157
62000,5000,5932,0.861638760530176,0.35061199793439346,0.48194031361330697,0.7023607746339187,0.9338816000000001,0.0029411911336810074,-0.00021388554610757263,0.00517673700712357,18837,47503960.662523024,144.5,0.1192
64000,5000,5945,0.8606123571547992,0.35049648731529176,0.4837746864895355,0.7017108208937587,0.9254756000000002,0.002919619851826442,-0.0003927574463641262,0.004613352035152165,18847,51683015.783025704,145.6,0.1221
66000,5000,5880,0.8522986738870253,0.3551554571520494,0.4916897828431377,0.6966679300017572,0.9140164000000001,0.0033671179734716524,5.00317698502235e-06,0.0062123321651359744,18871,50100887.819234595,146.0,0.1256
68000,5000,5917,0.8509695058063811,0.34942933055967274,0.49479477665019456,0.6889120751849211,0.9097824000000001,0.003856974167891029,-9.389733360842834e-05,0.010276232227782504,18896,34001949.63217508,145.3,0.13
70000,5000,5968,0.8420046111321255,0.3590799981232677,0.47760105130896746,0.6611245622613602,0.9030623999999999,0.0030925685021279746,-0.0007563115134490446,0.0086036553599272,18950,28316392.6093382,144.9,0.1342
72000,5000,5989,0.837211647940433,0.35880710087642104,0.4764032488359104,0.6443300611357323,0.9017152,0.002577595928432118,-0.0003309332257059638,0.006570651036759216,18990,31358764.172014467,145.3,0.1377
74000,5000,5958,0.8378630985871703,0.3594815111998119,0.47556799479498413,0.648482040167927,0.91033416,0.001950428855912391,-0.0005196857843050074,0.00553612603469703,18992,36613582.4277389,146.2,0.1406
76000,5000,5961,0.8401892831014492,0.3606697366702938,0.47362095580365965,0.6584490613318164,0.90032016,0.00286081996298204,-0.0003755595192545646,0.007644138338239652,18992,41409090.4286338,146.9,0.1437
78000,5000,5962,0.8391468027806611,0.35981975826126955,0.47459388016093274,0.6537214525277153,0.8893461600000001,0.002095892279258787,-0.0005301121174535639,0.0067506207235042155,18992,46233541.20157428,147.6,0.1468
80000,5000,5953,0.8374515654201273,0.3616600639086515,0.4685526702420033,0.6452874717477802,0.90147456,0.003247880257806003,-0.0013265766902325485,0.007716407919542712,19008,45322475.659801096,148.0,0.1501
82000,5000,5900,0.8370034382474285,0.36055575373349774,0.46974787885126634,0.6444258589526567,0.91429336,0.001926152791610911,-0.0002487335308189225,0.004915364805149063,19011,48282560.31300763,148.7,0.1532
84000,4999,5914,0.837737703176767,0.360331161342324,0.46833132970764635,0.643831394254763,0.9045422684536908,0.0026325478670875856,-7.755361096791181e-05,0.005451753457692703,19022,52104543.859952025,149.5,0.1561
86000,4999,5894,0.8394372783313,0.3586893784319882,0.4669092254456863,0.6444563586081506,0.9104154430886179,0.0032976626422480874,-0.0004599534623548426,0.00844646916375974,19037,47402308.27627262,149.5,0.1597
88000,5000,5961,0.8377608099788638,0.355479394770416,0.47227404513491544,0.6421191660643075,0.90815536,0.002479787467377612,2.309730902590188e-05,0.008368701291873629,19039,34838573.4073298,149.0,0.164
90000,4999,5965,0.8422126118495086,0.34523511601793805,0.49106218793411754,0.661189327193335,0.9085590718143629,0.002523960232781229,-0.0005223362589223114,0.007089737044053216,19071,35399471.89603064,148.8,0.168
92000,5000,6020,0.8423111424033436,0.3420254224987154,0.4953190475421956,0.6594307520726869,0.9157427039999999,0.0012115552709384561,-0.0005700299364549611,0.005859091061438961,19085,39815262.072038785,149.4,0.1711
94000,4999,6027,0.841515500315461,0.34163185157990245,0.49591991974812133,0.6563759097348013,0.912292426485297,0.0020088284174844344,-0.0010332217746317296,0.0068310773838861924,19085,45144345.09879341,149.9,0.1742
96000,5000,6051,0.8391428664940337,0.3402294328835328,0.4977383964626931,0.6455641890870769,0.908947968,0.0018112800405033938,-0.0005507671721964105,0.006107803606737944,19085,50220744.49733701,150.3,0.1774
98000,5000,6010,0.83903797832338,0.3397930259443296,0.49757236102517843,0.6448591332527038,0.905921968,0.0017684848422418577,4.5288975902303885e-05,0.006184010447544786,19085,53399834.035790175,150.6,0.1807
100000,5000,6039,0.838682946006569,0.337756806888048,0.4998872841851151,0.6444972253743982,0.9029667679999999,0.0016624373988638958,6.324804562990613e-05,0.00559129710313182,19085,55165646.040368296,150.8,0.1842
102000,5000,6045,0.8385607463311071,0.3379585087077091,0.49988083233102926,0.6447247565884984,0.9001747680000001,0.0010956762021102147,-0.00014354096811436387,0.004688665030239632,19086,60084174.10736262,151.4,0.1872
104000,5000,6034,0.8393369401018139,0.3374783161314509,0.4989053876924218,0.6445602738577715,0.909672768,0.0018859650812921543,-0.00019548930382206681,0.006379884957059364,19088,61253401.7334151,151.6,0.1906
106000,4998,6043,0.8400720860986787,0.3367420556612863,0.49837714319349036,0.6449742072139026,0.8968134933973589,0.003017577960343967,-0.0005610329324188039,0.00954661424001994,19095,47766252.345280975,151.1,0.1948
108000,5000,6064,0.8406685698028281,0.3349903664608291,0.5019272749753898,0.647514925142248,0.9092107680000001,0.0028989777175361365,-0.0002937949247784901,0.007934383637286546,19097,41637950.45993179,150.6,0.1992
110000,5000,6039,0.8401437127279557,0.33584714236302154,0.49987758894560463,0.6464661906784186,0.9037911680000001,0.0013243635402610762,-0.00020851609038041881,0.00646621387776852,19098,43668993.1631086,150.7,0.2028
112000,5000,6067,0.8404783596627352,0.3357935824797687,0.49938325839107783,0.6475325681288249,0.9027678144000001,0.0007170568223369755,-5.2311854593106324e-05,0.004914859356577696,19099,49013318.452142924,151.1,0.2059
114000,5000,6020,0.8392325814720399,0.3350891284485895,0.5004630797275355,0.642298506575673,0.9076458144,0.0009064040628561,-0.000465899838263586,0.006013598285828118,19099,54190798.175262876,151.5,0.209
116000,5000,6031,0.8389149876002573,0.33497570131946397,0.5003510086036195,0.6401985631376866,0.8997338144000001,0.0012788908607147674,-0.0006689318761121562,0.005721413097601874,19100,59300782.96748704,151.9,0.2122
118000,5000,6060,0.8396946534433654,0.33476208869706087,0.5004649135413947,0.6430998755783082,0.9043578144000001,0.0016104776006686892,-0.0002164565335597639,0.005902294810893964,19100,61077855.898574345,152.1,0.2155
120000,5000,6033,0.8394941778513934,0.33450365880099897,0.5008880127393248,0.6429879166550913,0.9026678144000001,0.0006527892202102001,-0.0001654151152574921,0.005208811555244732,19100,63439228.39941702,152.4,0.2188
122000,5000,6038,0.8391822897008747,0.33471877076799894,0.5011148464357007,0.6428664050717737,0.9067618144,0.0020489886571882186,-0.00020416115406327647,0.005747641855588204,19104,68156764.21642426,152.8,0.2218
124000,5000,6013,0.8406467620085474,0.333630675002401,0.49950052985869053,0.6430640149175125,0.9050138144000001,0.002429504308116176,-0.0003427224508413361,0.007037955942150987,19119,65036137.91056316,152.8,0.2254
126000,4998,6033,0.8404302114621467,0.3344096653093284,0.4981836778290689,0.6415073857792759,0.9041134597839137,0.003075057671240939,-0.0004480907023302605,0.009773119644422255,19121,48332288.06875701,152.1,0.2301
128000,5000,6022,0.8404965058458321,0.3345843398926974,0.49759561904367994,0.6411965221954214,0.9034630143999999,0.0008573978872918595,3.945710592023818e-05,0.00593994289210646,19123,45858731.964400135,151.8,0.2342
130000,5000,6045,0.8402683513296999,0.3345583155615398,0.49772004939317777,0.6403395582258717,0.91253129152,0.00034557031120018743,-5.796325068390734e-05,0.005214116358156092,19123,49413526.546286345,152.1,0.2375
132000,5000,6042,0.8399301356928576,0.3344167735191222,0.4975697322876869,0.6388799245007284,0.9140912115200001,0.0017564306516276054,-0.000278724946356939,0.0054172503340293434,19126,55048249.6920679,152.6,0.2403
134000,5000,6050,0.8394508497152722,0.3341263820088121,0.49797261907843865,0.6369993294146065,0.90946945152,0.0016011163190326329,3.6126706592583935e-05,0.00571926598533035,19126,59965371.43876864,152.9,0.2434
136000,4999,6056,0.8387376638040118,0.3360037886160598,0.49514197442861124,0.6337096006315054,0.9079210357271456,0.001939933259543456,-8.388643583354024e-05,0.0064373274623126696,19127,63090555.15106159,153.2,0.2466
138000,5000,6024,0.838480068335155,0.3370045813212996,0.4933876248771783,0.6328609529921516,0.90631345152,0.0017631484796457992,-0.000347879655160744,0.0067551848013181785,19128,64195845.97447401,153.5,0.2498
140000,5000,6043,0.838710089887996,0.336918819816485,0.49360297102939377,0.6329181191747488,0.91536745152,0.00028335367593147786,-0.0002284090918468599,0.004757626857573227,19130,68427158.15302399,153.9,0.2527
142000,5000,6043,0.8387949347327207,0.33654257253185216,0.4941655213478316,0.633396351185515,0.91229145152,0.00248194739985976,-0.00014843900216960753,0.006156943719043828,19133,71020215.47057882,154.1,0.2559
144000,4996,6047,0.8393460584882442,0.33614459163630983,0.4933782806913765,0.6336675031843578,0.9024834382706166,0.0027641456055855673,-0.0005478821942250747,0.011022598424422572,19141,58976785.62976907,153.5,0.2606
146000,5000,6016,0.8389962719695779,0.3379878730842298,0.4907329897373428,0.6313906736729393,0.92226545152,0.0019817647681523356,0.00016460734522690004,0.006703909007116041,19141,47573821.44471946,152.8,0.2655
148000,5000,6029,0.8387388931870111,0.33808219031789793,0.490562036993971,0.6305499506213369,0.91718805952,0.0008433449800287387,-0.0002618606333128742,0.006020366855598126,19142,48310492.45973813,152.6,0.2694
150000,5000,6021,0.8384359756452139,0.3381114426769273,0.49021579558618905,0.6289940314163021,0.9225316252160001,0.0009411466890692882,0.0001575770429789698,0.005194978035015984,19143,52626430.61338769,152.9,0.2724
152000,5000,6017,0.8384144809035959,0.33812218324506177,0.490158296928622,0.6291405998860606,0.9140806332160002,0.0016943645744628795,-0.0003768090760891571,0.00550786080309269,19143,58331490.99175128,153.3,0.2755
154000,5000,6048,0.8382409591640658,0.33807043115964625,0.490215493076716,0.6286869994629269,0.9128515932160001,0.0014238118147046985,-1.4247784179887501e-05,0.005419564654437638,19143,62872096.74579723,153.5,0.2787
156000,4999,6027,0.8382300309878241,0.33827206082259753,0.4900097597933046,0.6285496729678473,0.9157091350430085,0.001889375047815306,-3.9646675353746125e-05,0.006052957545682278,19143,65405662.35822001,153.6,0.2821
158000,5000,6038,0.8383833172011483,0.3383087196898693,0.49031536003583687,0.6288722756344296,0.9159739932159999,0.00120901807602151,-0.0005287473329416789,0.005444393269608021,19143,66306693.89640555,153.7,0.2855
160000,5000,6000,0.8386206840211465,0.33811430756319116,0.49013670068726994,0.6285247616538714,0.911345993216,0.0006380613226417869,-0.0002744613414898887,0.004768160164915799,19146,71319424.60673778,154.1,0.2884
162000,5000,6034,0.838542210228454,0.33784534680177286,0.49077206691395814,0.6289746768977984,0.914937993216,0.0026977109046381147,-0.00023950185757575743,0.0072813865185726,19153,69844970.8596369,154.2,0.2919
164000,5000,6040,0.8386345399733004,0.3382303460956062,0.4900835809148024,0.6281688769084863,0.9188339932160001,0.0027326387565111123,-5.937442335572931e-05,0.009359800781748166,19156,52769360.48006651,153.7,0.2964
166000,5000,6046,0.8380666548694701,0.3398914201839453,0.487598019628777,0.6249918346292117,0.908865001216,0.0011304264463519583,0.00026021700251249963,0.006648598458476758,19157,47435506.57429261,153.3,0.3007
168000,5000,6059,0.8379982477740953,0.34003095556020935,0.4872319282908806,0.6242507126266371,0.9103902921728,9.375549667504762e-05,-0.00014661974802073537,0.0053626283079242,19158,50174984.51809686,153.4,0.3042
170000,5000,6050,0.8379898586388205,0.340063369106513,0.4870271036734779,0.6242623892270897,0.9156615465728001,0.00011687422873537151,0.00017798285201089806,0.0048728356229369415,19159,55580687.22081986,153.8,0.3071
172000,5000,6075,0.8377842369595248,0.33993163481276917,0.487234070870415,0.6232999192657627,0.9150124745728001,0.0006838934165956271,0.00011916931274761655,0.005093861072191228,19159,60389900.25777827,154.0,0.3103
174000,4999,6020,0.837718418405267,0.33993304831636617,0.4870900242925214,0.622596307690188,0.9151094964720944,0.00014414005822442928,-0.0001738174203495594,0.0055360063701751306,19161,64219324.4372984,154.1,0.3136
176000,4999,6045,0.8376728570673011,0.3398535507398507,0.48717386532858187,0.6224193311057667,0.9184476841096222,0.001080909697541151,-0.00023323474037997616,0.006004893766913757,19161,65558708.938274585,154.2,0.3171
178000,5000,6053,0.8378598882575082,0.34006833370326406,0.4875540370353229,0.6227258141663213,0.9070059945728001,7.969641178484322e-05,-0.00034588837853923975,0.004965289179414831,19162,68589170.10625945,154.4,0.3203
180000,5000,6049,0.8373006804595622,0.3403603735473658,0.4885479628863306,0.6230069682741374,0.9142439945728001,0.0011463610396133185,-1.3324838375115445e-06,0.005696683516613806,19162,72430559.90853122,154.6,0.3234
182000,5000,6027,0.8379306421123958,0.33944375273821314,0.4881023183722971,0.623249934811503,0.9227799945728,0.002654548430601418,-0.00017507045006453058,0.009328852583674998,19169,64861678.48499432,154.5,0.3272
184000,4999,5996,0.83756379223705,0.34068448533012347,0.4859396282197411,0.6208236474342274,0.9197839513630727,0.0020539815318383293,-0.00013111656815575424,0.007873351490457677,19171,49105484.50685291,154.0,0.3318
186000,5000,6023,0.8373302229627457,0.3412949840866987,0.4848162997915539,0.6193773993872621,0.9197219580928,0.0017591402553061137,-0.0003469150357958272,0.006542271394996392,19172,48679994.934793994,153.9,0.3357
188000,5000,6012,0.8371503487487946,0.3414266191659635,0.48454664767484773,0.6183565622561275,0.91888568013824,0.0007745143403297422,5.021816840494232e-05,0.0054864205517948395,19173,52294267.68129757,153.9,0.3393
190000,5000,6029,0.8370429460480046,0.3413966255109987,0.4845971729530537,0.6180298888230144,0.9159946772582401,0.0013692028097307247,1.068054161308242e-06,0.0050892404260792674,19173,57867460.87939521,154.1,0.3424
192000,4999,6041,0.8369385666319519,0.34122336535560494,0.4844423657753357,0.6169850437529343,0.9191642445071414,0.0011578505335440008,-0.00019172057887705752,0.005402976228681109,19174,62272012.90695044,154.2,0.3458
194000,5000,6055,0.8369332254434612,0.3416309722533888,0.4840938284073432,0.6167693489722875,0.91543279565824,0.0013881641682756928,-0.00021150745875607354,0.005972284326486554,19174,65260195.5924294,154.4,0.349
196000,5000,6024,0.8372261546543095,0.3415014535197168,0.48433235256812407,0.6169318104238553,0.9235280276582402,0.00015144268418883737,2.5107424121022694e-05,0.005209199468096977,19175,65317810.43999714,154.4,0.3525
198000,5000,6000,0.8371357924076196,0.3414349932530887,0.4846490418635194,0.6169447903230575,0.92330402765824,0.00011292691588710506,0.0002681301429803187,0.005013655889760769,19175,70521457.15250894,154.7,0.3554
200000,5000,6006,0.8371169330207496,0.3413697858830632,0.4847709162800978,0.617126857343549,0.9203280276582402,0.0020518065385668003,-0.00012837516547932058,0.006380871225298141,19183,71173314.06822051,154.9,0.3586
202000,5000,6016,0.8375330886628344,0.3412114184273749,0.4849135168259071,0.6178156495798176,0.92749602765824,0.0027579556494641694,0.00021750297122797367,0.009203765386216237,19185,55409457.75186408,154.4,0.3634
204000,4999,6043,0.8368137801420131,0.34331783231973706,0.48177839159565405,0.614374989260625,0.9187005248832167,0.002305796712720829,8.28739064071297e-05,0.007629013311577794,19186,48019543.79963862,154.2,0.3676
206000,5000,6048,0.8366187693168271,0.3440719193939755,0.4802767324982901,0.6128954007127507,0.90733839847424,0.0009478823088864681,-3.103184153035288e-05,0.006121774860170569,19187,49291454.01143028,154.1,0.3713
208000,5000,6044,0.8363210316290061,0.3439122036572304,0.4804412394332864,0.6118455026409061,0.916107613806592,8.70711815310657e-05,-0.0002465048854190793,0.0051874235507342464,19187,54366167.48776098,154.2,0.3748
210000,5000,5992,0.8362655186207121,0.34388724217702465,0.480240114460889,0.6116652252747327,0.918118589806592,0.0012679305486304868,4.3818516486999016e-05,0.005736896267278665,19188,59390159.44405155,154.3,0.3781
212000,4998,6036,0.8358811918408448,0.34369912750587567,0.48044219848976943,0.6101891986666703,0.920920958189868,0.00040638809607330257,0.00011704580717986364,0.005734319688901202,19188,63912912.77758482,154.4,0.3815
214000,5000,6023,0.8357953971517498,0.34343051759796744,0.4808356330573375,0.6103543212945418,0.9281922826065921,0.0018532138521527033,8.581906951031063e-05,0.006198387602944217,19188,65444818.36823866,154.3,0.3853
216000,5000,6045,0.8361747923737602,0.3432921052415453,0.48095218198858813,0.6106077097483908,0.9115562826065919,4.990503876455793e-05,-0.00021979005530775418,0.0046716422286324265,19189,67529107.19348368,154.0,0.3895
218000,5000,6037,0.8358122047887626,0.343406995804813,0.48138230257742387,0.6104423614936099,0.927830282606592,0.0011214282330921782,-7.751761230338303e-05,0.005011404858231663,19191,72135561.06566067,153.8,0.3936
220000,4999,6009,0.8360133823226624,0.34309098323630677,0.4811190921869801,0.6103525322360401,0.9229268679801879,0.0031055850172470477,-0.000354403228059556,0.008402527466527409,19196,67444025.06432831,153.3,0.3987
222000,5000,5992,0.8360058486903781,0.3445932880701896,0.47864636892530815,0.6080760847444493,0.925258282606592,0.0032157999007106346,-0.0001326332293415083,0.009183642362937209,19198,51140365.92996598,152.4,0.4045
224000,5000,6058,0.8358921370309003,0.34511581925811297,0.47765792003705565,0.6069632558561799,0.913970734702592,0.001099811820104483,4.799940373223579e-05,0.006030767143729148,19198,48202105.00835503,152.3,0.4086
226000,5000,6074,0.8355868794439473,0.34527043475696273,0.4772661537167287,0.6061386149191003,0.9275965973247999,0.0008215416200122358,0.00039706603747359813,0.005374080402737364,19198,51430213.8165399,152.4,0.4118
228000,5000,6082,0.8356667235652967,0.3454680023209578,0.47714971302245685,0.6065740709281364,0.9123906155775999,5.534260495708242e-05,-2.224141301101092e-05,0.005121736972746909,19198,56821154.144444875,152.7,0.4148
230000,5000,6071,0.8356418586347875,0.3454205269283895,0.47710632938837116,0.6064411348023631,0.9109359998976001,0.0010896804530124912,-0.00027299018322285933,0.005702592031885862,19198,61262613.2584447,152.9,0.4179
232000,5000,6065,0.8355856630432589,0.3456830148246892,0.4767793944042459,0.6061092543342902,0.9257115141376002,0.001458649919699597,0.00016567278077423702,0.005887354809708177,19198,64553199.48884209,153.1,0.421
234000,5000,6035,0.8355109098239245,0.345265404091561,0.4773764074260975,0.6060626333249116,0.9145017541376,0.0024685757461732328,-0.00033777155636317407,0.007052894044203082,19198,65301445.81566876,153.2,0.4244
236000,5000,6021,0.8359411943962924,0.3453294563493326,0.47713014023099004,0.606625500217788,0.9215537541376001,8.595084762373935e-05,-0.0002367421971915526,0.004989089594234315,19198,69550676.01654649,153.4,0.4274
238000,4999,6036,0.8355626752541658,0.3456566838604259,0.4774358701541372,0.6063672945570602,0.9205538649105822,0.0024521732322723418,-4.514855984667906e-05,0.006428773530276934,19200,71780023.86092623,153.6,0.4305
240000,5000,6058,0.8357220257861969,0.34528221301681505,0.47726802666837703,0.6064522849314556,0.9262297541376,0.0028121759525809972,-0.00021666742006348544,0.010985348309503153,19203,58819481.13519415,153.4,0.4347
242000,5000,6017,0.8352163918829647,0.34736443767577563,0.4744323965490661,0.6040852089024823,0.9166749359104001,0.001747296001173483,2.254160674799161e-05,0.007137670622316936,19203,48423889.069087625,153.0,0.4394
244000,5000,6026,0.8348162691020654,0.3479183686637712,0.4732429363708514,0.6021444575718357,0.9187866940416,0.0010200271821978893,5.3940902038405134e-05,0.0060866239733757144,19204,48804383.84837458,153.0,0.4431
246000,5000,6037,0.834826698966711,0.3480038375404648,0.4730918076596783,0.6018656784439136,0.9179580380620802,0.0013889852098183182,5.343657358690943e-05,0.005353612008363818,19204,53171374.354472324,153.1,0.4464
248000,5000,6025,0.834730301647344,0.34791988202627133,0.47316543287104434,0.6014284164644732,0.92466729246208,0.0001826637856098126,-0.00016803469875433755,0.00532536077510299,19204,58602463.59948098,153.2,0.4496
250000,5000,6025,0.8346913762278393,0.347789622020527,0.47317124743284866,0.6009896694109886,0.91302239991808,0.0017966217507811677,-5.265674026939337e-06,0.005822633267960385,19204,62800784.32349093,153.3,0.4531
252000,4998,6059,0.8346044654016593,0.3477413857349234,0.47334155562210994,0.6006241187170194,0.9167649946737095,0.0007777043345923425,-0.00034828331328695455,0.005807615082015862,19204,65182259.086351626,153.3,0.4566
254000,5000,6009,0.8348373089837361,0.34766087055030503,0.4733769630230898,0.6009187029872762,0.9273550886758399,6.088081966820284e-05,0.00014141239906445509,0.00479181727651684,19205,66066773.04990488,153.3,0.4602
256000,5000,6002,0.8350039723974071,0.34756628116467847,0.47315301837202123,0.6009251671746965,0.9291922886758399,0.0006328761215173968,-0.00010345455478560486,0.004710933535145737,19208,70731555.33488636,153.5,0.4632
258000,4997,6017,0.8351476211007276,0.3476862095882097,0.4726578713616052,0.6009251480103583,0.9237125161855514,0.0029226506998065826,-4.101488878825465e-05,0.0076139388290824474,19211,68407990.38568479,153.5,0.4669
260000,5000,5980,0.8354575171490533,0.348137099024036,0.47092653952771696,0.5992368258661929,0.9278102886758401,0.0033582869403029824,-1.9882157733536787e-05,0.009567252228785971,19216,52158339.834904976,153.1,0.4717
262000,5000,6028,0.8350679988793501,0.34872439516775455,0.4697645823192591,0.597472870425368,0.92381521801728,0.0013016920337095652,4.147638922583996e-05,0.007051684014462636,19217,47399420.49723105,152.7,0.4765
264000,5000,6024,0.8352147787475657,0.3484791977937009,0.47015875636100246,0.5978797658298888,0.9244486951372801,7.69622080649903e-06,-0.00041642999820877595,0.005069477788318196,19217,50220234.46775417,152.7,0.4801
266000,5000,6061,0.8353833141755728,0.3486968223366097,0.46994184852615034,0.5985611435605258,0.922259492099072,0.0003769523520288521,-3.05458320503835e-05,0.005266390874520818,19218,55502642.31232052,152.9,0.4833
268000,5000,6034,0.8351352507712508,0.3484697149957506,0.4701007735766174,0.5970465652902749,0.9196569527838722,0.00164295749852228,-0.00020962808634851767,0.005536780538524764,19219,60103687.25586149,153.0,0.4866
