tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,1775,0.2465,1018,0.7567,0.4847,0.1769,0.4306,0.6731,0.235396,-0.2141,0.3274,975,197555.8,855.6,0.0006,8
4000,3240,0.4500,3145,0.5567,0.2977,0.1952,0.5503,0.5386,0.153136,-0.2313,0.3019,2907,1435185.9,231.7,0.0048,9
6000,3239,0.4499,3282,0.4784,0.3027,0.2137,0.2902,0.7163,0.138894,-0.1265,0.1909,4699,2342804.5,175.4,0.0095,8
8000,3240,0.4500,3405,0.4903,0.2567,0.1825,0.2161,0.8362,0.123308,-0.0428,0.0856,4908,4939854.7,176.1,0.0126,5
10000,3240,0.4500,3372,0.5158,0.2449,0.1550,0.2034,0.8231,0.121441,-0.0280,0.0706,4953,7543417.4,186.3,0.0149,4
12000,3240,0.4500,3320,0.5450,0.2101,0.1328,0.1821,0.8293,0.117107,-0.0212,0.0645,4983,9247896.5,195.2,0.0171,4
14000,3238,0.4497,3090,0.5438,0.1706,0.1226,0.1816,0.8059,0.103643,-0.0286,0.0788,5064,9586744.4,195.7,0.0199,4
16000,3239,0.4499,2977,0.5258,0.1475,0.1365,0.2285,0.8053,0.088573,-0.0206,0.0690,5294,8299458.7,189.9,0.0234,4
18000,3240,0.4500,2889,0.5168,0.1266,0.1292,0.2194,0.8002,0.079706,-0.0212,0.0703,5295,9811597.0,192.3,0.0260,4
20000,3240,0.4500,2730,0.5078,0.1090,0.1246,0.2139,0.7779,0.069166,-0.0192,0.0744,5296,10926738.3,193.3,0.0287,4
22000,3240,0.4500,2703,0.5026,0.1205,0.1423,0.2627,0.7855,0.065094,-0.0184,0.0663,5377,11804648.8,194.6,0.0314,4
24000,3240,0.4500,2881,0.4981,0.1253,0.1573,0.2326,0.6762,0.058155,-0.0225,0.0848,5590,9697314.4,192.2,0.0347,5
26000,3240,0.4500,2933,0.4992,0.1263,0.1580,0.2278,0.7457,0.049129,-0.0207,0.0749,5643,9867790.6,190.4,0.0379,5
28000,3239,0.4499,3007,0.5060,0.1389,0.1614,0.2350,0.7826,0.043330,-0.0157,0.0656,5643,11564046.8,191.3,0.0407,5
30000,3240,0.4500,2999,0.5071,0.1368,0.1594,0.2263,0.7477,0.039575,-0.0143,0.0624,5654,12485110.5,193.5,0.0431,5
32000,3240,0.4500,3113,0.4999,0.1415,0.1681,0.2066,0.7838,0.037007,-0.0095,0.0628,5735,12836894.3,194.2,0.0458,5
34000,3240,0.4500,3082,0.4976,0.1510,0.1850,0.2205,0.7635,0.029971,-0.0100,0.0581,5761,12437295.7,194.3,0.0486,6
36000,3240,0.4500,3009,0.4955,0.1515,0.1904,0.2368,0.7805,0.025887,-0.0106,0.0566,5779,13011524.7,194.8,0.0513,6
38000,3240,0.4500,3012,0.4936,0.1477,0.1898,0.2363,0.7832,0.022009,-0.0038,0.0523,5780,14700601.1,195.9,0.0539,6
40000,3240,0.4500,2995,0.4924,0.1515,0.1957,0.2546,0.7186,0.020723,-0.0080,0.0512,5806,15210729.9,196.5,0.0565,6
42000,3240,0.4500,3140,0.4743,0.1706,0.2294,0.2676,0.7672,0.018659,-0.0055,0.0475,5879,15116333.9,197.5,0.0591,7
44000,3239,0.4499,3064,0.4711,0.1738,0.2370,0.3174,0.7572,0.015357,-0.0060,0.0430,5921,14515681.6,197.6,0.0618,7
46000,3240,0.4500,3066,0.4713,0.1735,0.2371,0.3193,0.7815,0.014012,-0.0055,0.0408,5934,15443721.0,199.6,0.0640,7
48000,3240,0.4500,3082,0.4681,0.1674,0.2352,0.3174,0.7699,0.012766,-0.0078,0.0462,5942,16694959.9,201.4,0.0662,7
50000,3240,0.4500,2992,0.4672,0.1705,0.2408,0.3374,0.7938,0.012057,-0.0055,0.0402,5956,17310900.4,202.8,0.0685,7
52000,3240,0.4500,3101,0.4612,0.1808,0.2593,0.3801,0.7892,0.010745,-0.0034,0.0363,5989,17570654.5,207.9,0.0712,8
54000,3240,0.4500,3034,0.4597,0.1818,0.2624,0.4088,0.7947,0.009720,-0.0039,0.0334,6003,16697147.1,197.7,0.0741,8
56000,3240,0.4500,3024,0.4598,0.1818,0.2623,0.4085,0.7822,0.008669,-0.0058,0.0367,6007,17985527.5,214.1,0.0763,8
58000,3240,0.4500,3021,0.4607,0.1829,0.2619,0.4078,0.8028,0.008676,-0.0038,0.0338,6012,18993354.5,221.7,0.0785,8
60000,3240,0.4500,3076,0.4589,0.1886,0.2705,0.4350,0.7469,0.007945,-0.0035,0.0347,6031,19600703.6,221.6,0.0810,8
62000,3240,0.4500,3058,0.4571,0.1915,0.2764,0.4651,0.7847,0.008197,-0.0015,0.0304,6043,19191402.3,217.3,0.0838,9
64000,3240,0.4500,3032,0.4563,0.1919,0.2783,0.4779,0.8060,0.007392,-0.0024,0.0277,6045,19181237.1,216.4,0.0865,9
66000,3239,0.4499,3027,0.4570,0.1931,0.2787,0.4786,0.7996,0.007180,-0.0022,0.0269,6047,20453375.2,222.0,0.0885,9
68000,3240,0.4500,3082,0.4567,0.1939,0.2802,0.4833,0.7807,0.007214,-0.0016,0.0291,6050,21532325.1,225.0,0.0907,9
70000,3240,0.4500,3039,0.4566,0.1952,0.2830,0.4992,0.8115,0.007112,-0.0022,0.0303,6056,21696582.0,223.9,0.0933,9
72000,3240,0.4500,3057,0.4554,0.1961,0.2852,0.5183,0.7791,0.005525,-0.0017,0.0260,6066,20740210.7,221.4,0.0961,10
74000,3240,0.4500,2991,0.4548,0.1975,0.2878,0.5258,0.8109,0.004919,-0.0023,0.0210,6070,21469922.1,223.5,0.0983,10
76000,3240,0.4500,2993,0.4551,0.1981,0.2878,0.5257,0.8157,0.005521,-0.0016,0.0223,6075,22800137.3,227.5,0.1002,10
78000,3240,0.4500,3055,0.4543,0.1995,0.2904,0.5338,0.7803,0.005064,-0.0033,0.0255,6080,23586897.0,229.7,0.1024,10
80000,3238,0.4497,3013,0.4547,0.2010,0.2927,0.5499,0.7959,0.005232,-0.0010,0.0224,6082,23134696.5,229.1,0.1049,10
82000,3240,0.4500,3002,0.4538,0.2018,0.2944,0.5630,0.7818,0.005036,-0.0024,0.0239,6095,22185653.1,228.1,0.1075,11
84000,3240,0.4500,2991,0.4538,0.2021,0.2951,0.5665,0.7996,0.003745,-0.0003,0.0196,6101,23099994.7,230.5,0.1095,11
86000,3240,0.4500,2956,0.4546,0.2033,0.2951,0.5669,0.8136,0.003636,-0.0016,0.0183,6104,24874677.4,233.8,0.1113,11
88000,3240,0.4500,2982,0.4536,0.2054,0.2987,0.5780,0.7914,0.003629,-0.0023,0.0217,6106,25553213.0,234.2,0.1136,11
90000,3240,0.4500,2959,0.4535,0.2069,0.3007,0.5916,0.8099,0.003330,-0.0027,0.0223,6112,24521305.4,232.9,0.1162,12
92000,3238,0.4497,3004,0.4528,0.2085,0.3033,0.6036,0.7991,0.003467,-0.0002,0.0188,6114,23244220.7,230.7,0.1191,12
94000,3240,0.4500,2951,0.4530,0.2085,0.3033,0.6039,0.8278,0.003063,-0.0011,0.0177,6115,25066165.7,233.7,0.1208,12
96000,3240,0.4500,2978,0.4538,0.2092,0.3030,0.6038,0.8231,0.002682,-0.0013,0.0169,6118,26806609.6,236.2,0.1226,12
98000,3240,0.4500,2939,0.4528,0.2106,0.3054,0.6145,0.8201,0.002810,-0.0025,0.0187,6120,27186162.4,236.4,0.1249,12
100000,3239,0.4499,2917,0.4538,0.2101,0.3054,0.6276,0.8229,0.003103,-0.0018,0.0179,6123,25618504.2,234.7,0.1277,13
102000,3240,0.4500,2951,0.4530,0.2106,0.3066,0.6352,0.8224,0.002845,0.0005,0.0155,6126,24385774.5,209.3,0.1304,13
104000,3240,0.4500,2924,0.4531,0.2106,0.3067,0.6353,0.8222,0.003142,-0.0017,0.0150,6127,26638082.1,266.0,0.1319,13
106000,3240,0.4500,2937,0.4536,0.2116,0.3070,0.6358,0.8285,0.002754,-0.0013,0.0157,6128,28263248.6,281.6,0.1336,13
108000,3240,0.4500,2905,0.4531,0.2127,0.3104,0.6486,0.8189,0.004082,-0.0020,0.0197,6130,28240917.6,265.0,0.1361,13
110000,3239,0.4499,2942,0.4537,0.2127,0.3106,0.6563,0.8089,0.003712,-0.0012,0.0194,6133,26005999.2,244.5,0.1391,14
112000,3240,0.4500,2890,0.4535,0.2125,0.3105,0.6597,0.8324,0.001977,-0.0008,0.0142,6133,25800563.5,240.3,0.1416,14
114000,3240,0.4500,2914,0.4540,0.2133,0.3107,0.6604,0.7978,0.002010,-0.0016,0.0143,6133,28050057.3,251.3,0.1432,14
116000,3240,0.4500,2935,0.4535,0.2140,0.3119,0.6640,0.8191,0.003184,-0.0009,0.0163,6135,29435214.2,256.5,0.1450,14
118000,3240,0.4500,2961,0.4541,0.2132,0.3117,0.6721,0.8169,0.003565,-0.0019,0.0188,6136,28425535.3,250.8,0.1476,14
120000,3240,0.4500,2909,0.4534,0.2141,0.3144,0.6784,0.7988,0.002597,-0.0000,0.0144,6141,26320211.7,244.0,0.1505,15
122000,3239,0.4499,2876,0.4534,0.2137,0.3143,0.6794,0.8384,0.001884,-0.0005,0.0122,6141,27046248.0,245.9,0.1526,15
124000,3240,0.4500,2916,0.4537,0.2142,0.3144,0.6796,0.8089,0.002100,-0.0009,0.0127,6141,29278220.9,252.3,0.1541,15
126000,3240,0.4500,2927,0.4536,0.2146,0.3151,0.6825,0.7993,0.003285,-0.0004,0.0160,6142,30118905.5,253.6,0.1562,15
128000,3240,0.4500,2919,0.4545,0.2135,0.3146,0.6876,0.7800,0.003505,-0.0009,0.0160,6142,28460684.1,249.4,0.1589,15
130000,3239,0.4499,2923,0.4542,0.2136,0.3160,0.6917,0.8267,0.003255,-0.0003,0.0149,6143,26672189.7,245.0,0.1617,16
132000,3240,0.4500,2908,0.4543,0.2134,0.3160,0.6921,0.8371,0.003246,-0.0006,0.0121,6144,28092756.0,248.2,0.1635,16
134000,3240,0.4500,2855,0.4546,0.2138,0.3162,0.6925,0.8279,0.002756,-0.0007,0.0120,6145,30283464.5,252.8,0.1651,16
136000,3240,0.4500,2927,0.4542,0.2144,0.3172,0.6956,0.7834,0.003009,-0.0008,0.0129,6146,30555267.2,252.5,0.1673,16
138000,3240,0.4500,2918,0.4555,0.2135,0.3168,0.7037,0.8377,0.004364,0.0003,0.0146,6147,28405376.9,249.2,0.1701,17
140000,3240,0.4500,2914,0.4555,0.2147,0.3189,0.7084,0.8288,0.003283,-0.0009,0.0146,6150,26384742.8,245.7,0.1729,17
142000,3240,0.4500,2871,0.4552,0.2147,0.3190,0.7089,0.8349,0.003252,-0.0003,0.0099,6150,28881138.5,249.8,0.1744,17
144000,3240,0.4500,2846,0.4556,0.2153,0.3192,0.7086,0.8236,0.003014,-0.0006,0.0102,6150,31056695.7,253.6,0.1759,17
146000,3240,0.4500,2858,0.4556,0.2152,0.3199,0.7132,0.8235,0.003993,0.0001,0.0121,6151,31105770.6,253.3,0.1781,17
148000,3239,0.4499,2857,0.4564,0.2145,0.3188,0.7158,0.8315,0.004074,-0.0002,0.0130,6153,28472660.0,249.6,0.1811,18
150000,3240,0.4500,2876,0.4560,0.2138,0.3185,0.7189,0.8062,0.004255,0.0001,0.0106,6156,26691586.7,247.8,0.1837,18
152000,3240,0.4500,2851,0.4558,0.2138,0.3185,0.7187,0.8374,0.003804,-0.0005,0.0091,6156,29370569.6,425.8,0.1850,18
154000,3240,0.4500,2858,0.4555,0.2139,0.3190,0.7205,0.8380,0.004257,-0.0003,0.0114,6156,31471226.3,388.8,0.1866,18
156000,3239,0.4499,2879,0.4554,0.2150,0.3202,0.7238,0.8121,0.005792,-0.0018,0.0182,6158,30707182.2,318.4,0.1889,18
158000,3240,0.4500,2850,0.4558,0.2146,0.3200,0.7279,0.8406,0.005015,-0.0004,0.0147,6159,27843249.5,275.3,0.1918,19
160000,3240,0.4500,2879,0.4552,0.2143,0.3202,0.7301,0.8180,0.006292,0.0005,0.0087,6161,27486692.6,269.8,0.1940,19
162000,3240,0.4500,2879,0.4553,0.2143,0.3202,0.7300,0.8056,0.005877,-0.0002,0.0099,6161,30040119.7,286.2,0.1953,19
164000,3240,0.4500,2875,0.4552,0.2148,0.3208,0.7322,0.7964,0.006500,-0.0012,0.0128,6161,31649688.3,294.0,0.1969,19
166000,3240,0.4500,2897,0.4563,0.2144,0.3196,0.7355,0.8146,0.007736,-0.0001,0.0144,6162,29996578.6,283.0,0.1994,19
168000,3240,0.4500,2854,0.4565,0.2149,0.3212,0.7372,0.8196,0.007413,-0.0007,0.0127,6162,27370994.8,271.2,0.2021,20
170000,3240,0.4500,2813,0.4566,0.2151,0.3214,0.7379,0.8147,0.003841,-0.0003,0.0088,6164,28105090.7,273.0,0.2041,20
172000,3240,0.4500,2836,0.4570,0.2155,0.3215,0.7381,0.8529,0.003791,-0.0005,0.0095,6164,30653863.8,281.7,0.2054,20
174000,3240,0.4500,2812,0.4568,0.2163,0.3226,0.7416,0.8302,0.004294,-0.0005,0.0128,6165,31355164.9,283.4,0.2072,20
176000,3240,0.4500,2858,0.4584,0.2153,0.3214,0.7467,0.8228,0.003609,0.0001,0.0133,6169,29301334.7,275.4,0.2099,20
178000,3240,0.4500,2820,0.4586,0.2160,0.3223,0.7489,0.8126,0.002887,-0.0003,0.0132,6171,26878428.2,267.0,0.2128,21
180000,3240,0.4500,2826,0.4585,0.2159,0.3220,0.7486,0.8494,0.002503,-0.0001,0.0081,6173,28505078.7,270.4,0.2145,21
182000,3240,0.4500,2801,0.4589,0.2166,0.3222,0.7489,0.8405,0.002156,-0.0001,0.0079,6173,31059148.8,276.0,0.2159,21
184000,3239,0.4499,2811,0.4590,0.2168,0.3230,0.7519,0.8481,0.002855,0.0003,0.0096,6175,31174085.9,274.5,0.2181,21
186000,3239,0.4499,2832,0.4604,0.2153,0.3208,0.7547,0.8221,0.004331,-0.0000,0.0130,6178,28488479.1,267.9,0.2210,22
188000,3240,0.4500,2832,0.4599,0.2164,0.3222,0.7569,0.8314,0.004018,-0.0004,0.0128,6179,26260732.0,262.2,0.2240,22
190000,3240,0.4500,2790,0.4603,0.2163,0.3216,0.7560,0.8528,0.002890,0.0001,0.0080,6182,28948375.3,267.4,0.2252,22
192000,3240,0.4500,2799,0.4598,0.2159,0.3214,0.7557,0.8496,0.002893,-0.0008,0.0090,6182,31440884.6,271.7,0.2266,22
194000,3240,0.4500,2803,0.4600,0.2164,0.3223,0.7590,0.8445,0.004113,-0.0010,0.0110,6184,31014290.0,269.8,0.2290,22
196000,3240,0.4500,2823,0.4606,0.2158,0.3221,0.7621,0.8304,0.004236,0.0000,0.0112,6187,28141968.8,264.9,0.2319,23
198000,3239,0.4499,2828,0.4604,0.2164,0.3239,0.7634,0.8131,0.003571,0.0006,0.0091,6188,26336968.2,261.7,0.2346,23
