tick,N,density,sig_density,g14,g15,g16,g19,trust,cult_div,valence,arousal,pred_cum,total_energy,rate,elapsed_h,max_gen
2000,479,0.0665,582,0.5336,0.4940,0.2755,0.5204,0.8389,0.287137,-0.4464,0.5074,480,136158.6,620.0,0.0009,4
4000,3240,0.4500,3798,0.5285,0.4716,0.1894,0.5336,0.4262,0.217945,-0.1241,0.1636,1776,1887206.0,193.1,0.0058,7
6000,3240,0.4500,3737,0.5082,0.4664,0.1875,0.5188,0.8124,0.209569,-0.0516,0.0755,1862,6418747.8,177.7,0.0094,7
8000,3240,0.4500,3217,0.5204,0.4581,0.2333,0.5354,0.8769,0.181592,-0.0774,0.1117,2710,3537137.9,145.8,0.0152,5
10000,3239,0.4499,3127,0.5204,0.4637,0.2257,0.5498,0.8958,0.170973,-0.0212,0.0354,2980,6056340.6,143.6,0.0193,5
12000,3238,0.4497,2922,0.5458,0.5083,0.2344,0.5600,0.8825,0.162383,-0.0322,0.0503,3203,6560349.7,140.5,0.0237,5
14000,3240,0.4500,2967,0.4825,0.4946,0.2439,0.6238,0.8627,0.142691,-0.0262,0.0386,3541,7714108.5,137.1,0.0284,4
16000,3239,0.4499,2967,0.4820,0.4846,0.2183,0.6385,0.8893,0.138504,-0.0098,0.0191,3614,10269439.3,139.8,0.0318,3
18000,3240,0.4500,2917,0.4914,0.4920,0.2088,0.6363,0.9301,0.132908,-0.0065,0.0134,3700,12890035.4,143.3,0.0349,3
20000,3240,0.4500,2889,0.5104,0.5075,0.1880,0.6243,0.9361,0.127394,-0.0064,0.0136,3761,14728440.9,146.8,0.0378,3
22000,3239,0.4499,2766,0.5402,0.5268,0.1897,0.5899,0.9598,0.112769,-0.0172,0.0269,3914,13346162.4,147.0,0.0416,3
24000,3239,0.4499,2844,0.5419,0.5529,0.2284,0.5763,0.9579,0.099711,-0.0183,0.0291,4386,12389693.8,145.8,0.0457,3
26000,3238,0.4497,2716,0.5611,0.5806,0.2257,0.5318,0.9539,0.092261,-0.0079,0.0160,4624,10896577.4,145.6,0.0496,3
28000,3240,0.4500,2700,0.5750,0.5824,0.2779,0.5056,0.9596,0.082277,-0.0064,0.0156,4907,9787378.4,145.8,0.0534,3
30000,3240,0.4500,2797,0.5749,0.5883,0.3085,0.4895,0.9492,0.075516,-0.0016,0.0071,5286,10396662.9,146.6,0.0569,3
32000,3240,0.4500,2831,0.5806,0.5949,0.3173,0.4848,0.9668,0.072654,-0.0004,0.0047,5383,12151401.0,148.9,0.0597,3
34000,3240,0.4500,2976,0.5735,0.6074,0.3576,0.4980,0.9471,0.069798,0.0001,0.0065,5557,13630739.5,151.0,0.0625,3
36000,3240,0.4500,3082,0.5745,0.6238,0.3823,0.5011,0.9405,0.066836,-0.0013,0.0085,5794,14710620.0,152.2,0.0657,4
38000,3240,0.4500,3060,0.5675,0.6239,0.4073,0.5119,0.9616,0.063081,-0.0087,0.0157,6074,15167246.3,152.7,0.0691,4
40000,3240,0.4500,3154,0.5477,0.6140,0.4253,0.5483,0.9454,0.056424,-0.0114,0.0201,6383,15740135.0,150.7,0.0738,4
42000,3240,0.4500,3321,0.5408,0.6222,0.4668,0.5882,0.9085,0.040153,-0.0100,0.0202,6786,14691737.6,141.8,0.0823,4
44000,3240,0.4500,3339,0.5411,0.6064,0.5125,0.6025,0.9204,0.036269,-0.0043,0.0129,7098,15731516.8,136.1,0.0898,4
46000,3239,0.4499,3543,0.5309,0.6163,0.5623,0.6222,0.9117,0.032884,-0.0029,0.0113,7413,16511438.9,131.1,0.0975,4
48000,3240,0.4500,3564,0.5279,0.6204,0.5780,0.6275,0.8899,0.030773,-0.0007,0.0061,7476,18485668.8,127.4,0.1046,4
50000,3240,0.4500,3605,0.5265,0.6231,0.5870,0.6330,0.8933,0.029638,-0.0002,0.0053,7486,21380003.3,123.9,0.1121,4
52000,3240,0.4500,3681,0.5208,0.6277,0.6120,0.6452,0.8895,0.027963,-0.0005,0.0066,7497,23823332.5,77.2,0.1193,4
54000,3239,0.4499,3851,0.5102,0.6247,0.6380,0.6617,0.8674,0.025764,-0.0002,0.0073,7515,25153477.0,77.3,0.1265,4
56000,3240,0.4500,3979,0.5208,0.6690,0.6610,0.6490,0.8651,0.021870,-0.0004,0.0079,7641,26071269.6,77.0,0.1338,5
58000,3240,0.4500,3949,0.5209,0.6632,0.6617,0.6555,0.8612,0.020154,-0.0061,0.0155,7811,26060907.0,73.5,0.1423,5
60000,3239,0.4499,3952,0.5074,0.6946,0.6452,0.6433,0.8943,0.018080,-0.0078,0.0165,7972,25039339.1,72.2,0.1506,5
62000,3240,0.4500,3926,0.4941,0.7173,0.6236,0.6438,0.9157,0.015840,-0.0016,0.0084,8160,25157401.5,70.1,0.1596,5
64000,3240,0.4500,3950,0.4912,0.7225,0.6259,0.6424,0.9102,0.014948,-0.0000,0.0053,8209,27232553.1,72.9,0.1654,5
66000,3240,0.4500,4010,0.4980,0.7262,0.6281,0.6504,0.9140,0.013713,0.0001,0.0055,8229,28207368.2,76.8,0.1699,5
68000,3240,0.4500,4014,0.4983,0.7258,0.6290,0.6508,0.9223,0.012936,0.0002,0.0045,8244,30570338.4,81.3,0.1736,5
70000,3240,0.4500,3961,0.4981,0.7256,0.6294,0.6510,0.9091,0.012494,-0.0002,0.0048,8253,33654858.4,85.6,0.1770,5
72000,3240,0.4500,3953,0.4981,0.7256,0.6294,0.6509,0.9077,0.011351,-0.0000,0.0067,8267,33908126.7,88.9,0.1808,5
74000,3239,0.4499,4002,0.5016,0.7325,0.6351,0.6519,0.9066,0.010489,-0.0003,0.0075,8294,33918580.8,91.3,0.1851,5
76000,3240,0.4500,4027,0.4985,0.7107,0.6457,0.6598,0.9070,0.009206,-0.0013,0.0085,8343,33962622.1,93.0,0.1898,6
78000,3240,0.4500,3955,0.4893,0.6648,0.6509,0.6782,0.9253,0.008495,0.0004,0.0072,8459,32464074.7,94.0,0.1948,6
80000,3238,0.4497,3935,0.4966,0.6628,0.6428,0.6861,0.9019,0.008120,-0.0004,0.0096,8476,32665431.3,96.0,0.1989,6
82000,3240,0.4500,3960,0.5033,0.6651,0.6416,0.6957,0.9142,0.007109,-0.0003,0.0078,8513,33449944.2,98.2,0.2026,6
84000,3239,0.4499,3922,0.5022,0.6657,0.6434,0.6954,0.9157,0.006687,-0.0002,0.0092,8558,32591094.0,100.0,0.2066,6
86000,3240,0.4500,3987,0.5026,0.6647,0.6439,0.6958,0.9154,0.005838,0.0002,0.0060,8567,33393608.8,101.8,0.2103,6
88000,3240,0.4500,3948,0.5025,0.6650,0.6440,0.6955,0.9119,0.005824,0.0002,0.0068,8570,36225942.6,103.4,0.2142,6
90000,3240,0.4500,3940,0.5028,0.6653,0.6445,0.6949,0.9106,0.005661,0.0002,0.0072,8578,37177214.9,105.3,0.2176,6
92000,3240,0.4500,3964,0.5025,0.6657,0.6444,0.6941,0.8903,0.004940,-0.0001,0.0071,8586,35386703.8,106.8,0.2214,6
94000,3240,0.4500,3962,0.5029,0.6660,0.6440,0.6939,0.9020,0.004464,0.0003,0.0062,8597,33896094.7,107.9,0.2254,6
96000,3240,0.4500,3961,0.5042,0.6736,0.6448,0.6904,0.8962,0.004374,0.0002,0.0070,8609,34344813.3,108.2,0.2302,7
98000,3240,0.4500,4016,0.5044,0.6735,0.6460,0.6909,0.9155,0.004033,0.0003,0.0060,8609,34640154.9,109.3,0.2341,7
100000,3239,0.4499,3992,0.5051,0.6726,0.6462,0.6918,0.9134,0.003571,0.0001,0.0064,8611,35063467.4,110.3,0.2380,7
102000,3240,0.4500,3996,0.5050,0.6737,0.6455,0.6940,0.9030,0.003741,-0.0002,0.0071,8623,35550501.0,127.3,0.2424,7
104000,3240,0.4500,3997,0.5041,0.6737,0.6455,0.6938,0.9285,0.003272,-0.0001,0.0063,8625,35256479.5,139.0,0.2460,7
106000,3240,0.4500,3960,0.5039,0.6738,0.6455,0.6942,0.9148,0.003763,-0.0003,0.0066,8627,37219477.0,148.1,0.2493,7
108000,3240,0.4500,3956,0.5041,0.6737,0.6458,0.6942,0.9326,0.002814,0.0004,0.0057,8628,40103179.7,149.7,0.2528,7
110000,3240,0.4500,3968,0.5037,0.6732,0.6458,0.6934,0.9159,0.002613,-0.0000,0.0063,8628,40472077.3,142.0,0.2576,7
112000,3240,0.4500,3977,0.5036,0.6736,0.6455,0.6934,0.9016,0.002668,0.0000,0.0063,8628,39727407.2,142.7,0.2614,7
114000,3240,0.4500,3941,0.5042,0.6760,0.6465,0.6925,0.9180,0.003157,-0.0001,0.0075,8629,40153513.8,145.1,0.2648,8
116000,3240,0.4500,3961,0.5040,0.6760,0.6468,0.6926,0.9088,0.002610,-0.0001,0.0064,8631,38808962.1,143.7,0.2689,8
118000,3240,0.4500,3966,0.5040,0.6760,0.6478,0.6929,0.9055,0.002791,-0.0001,0.0080,8633,39280919.8,146.1,0.2722,8
